material_id,material_name,material_type,supplier_id,unit_of_measure,unit_cost,currency,min_order_quantity,lead_time_days,storage_condition,shelf_life_months,gmp_certified,cas_number,status
MAT-00065,Magnesium Stearate,excipient,SUP-0116,units,1017.08,GBP,48,71,controlled,59,true,6805-44-6,pending_approval
MAT-00066,Sodium Hydroxide,raw_chemical,SUP-0195,kg,4368.17,JPY,371,88,controlled,19,false,27429-52-4,active
MAT-00067,Croscarmellose Sodium,excipient,SUP-0192,mL,4810.41,INR,469,34,controlled,44,true,52037-40-8,active
MAT-00068,Carton Box Large,packaging,SUP-0092,sheets,2331.52,GBP,134,49,controlled,37,false,,active
MAT-00069,Serialization Label,label,SUP-0081,rolls,4571.7,INR,24,75,cold,53,true,,active
MAT-00070,HDPE Bottle 120cc,packaging,SUP-0085,sheets,1476.31,EUR,195,75,cold,37,false,,active
MAT-00071,Serialization Label,label,SUP-0044,pcs,2304.41,EUR,369,72,ambient,17,true,,discontinued
MAT-00072,Metformin HCl,active_ingredient,SUP-0196,g,4725.97,USD,212,20,controlled,20,true,92740-29-0,active
MAT-00073,Potassium Chloride,raw_chemical,SUP-0164,pcs,1866.32,JPY,468,64,controlled,37,true,916-78-8,active
MAT-00074,Ciprofloxacin HCl,active_ingredient,SUP-0138,kg,2647.32,GBP,9,67,controlled,49,false,23546-23-1,discontinued
MAT-00075,HPMC Capsule Shell,excipient,SUP-0065,mL,960.06,GBP,137,53,cold,29,false,60211-82-3,pending_approval
MAT-00076,Magnesium Stearate,excipient,SUP-0168,units,3420.37,USD,48,54,ambient,30,false,7405-91-0,pending_approval
MAT-00077,Iron Oxide Yellow,excipient,SUP-0166,g,2499.54,GBP,290,15,controlled,8,true,27760-98-9,active
MAT-00078,Carton Box Large,packaging,SUP-0072,kg,4620.83,JPY,289,87,cold,17,false,,active
MAT-00079,Titanium Dioxide,excipient,SUP-0020,L,3761.4,GBP,84,75,cold,42,false,88790-79-5,active
MAT-00080,Sodium Lauryl Sulfate,excipient,SUP-0014,g,2504.21,USD,224,32,cold,27,false,42828-13-4,active
MAT-00081,Tamper Evident Seal,label,SUP-0111,mL,1779.38,EUR,349,77,controlled,30,true,,discontinued
MAT-00082,Blister PVC/Alu,packaging,SUP-0069,mL,3565.69,EUR,195,84,cold,53,false,,active
MAT-00083,Glass Vial 10ml,packaging,SUP-0114,g,458.06,GBP,390,37,cold,14,true,,active
MAT-00084,Shipping Label,label,SUP-0105,pcs,2785.15,USD,14,14,ambient,41,true,,discontinued
MAT-00085,Ethanol 96%,raw_chemical,SUP-0075,rolls,4318.66,INR,199,13,controlled,41,true,75017-76-2,pending_approval
MAT-00086,Leaflet Insert A4,label,SUP-0069,L,694.63,INR,75,11,cold,33,false,,active
MAT-00087,Glass Vial 20ml,packaging,SUP-0065,pcs,3913.44,EUR,370,83,ambient,44,true,,active
MAT-00088,Aspirin Fine Powder,active_ingredient,SUP-0086,L,1523.64,JPY,195,45,ambient,27,false,85382-86-2,active
MAT-00089,HDPE Bottle 60cc,packaging,SUP-0102,mL,2395.31,GBP,150,84,ambient,42,true,,active
MAT-00090,Tamper Evident Seal,label,SUP-0094,units,4082.56,USD,478,75,cold,43,true,,pending_approval
MAT-00091,Phosphoric Acid,raw_chemical,SUP-0182,kg,4765.05,EUR,225,40,controlled,10,false,88258-73-2,pending_approval
MAT-00092,HDPE Bottle 60cc,packaging,SUP-0184,mL,1263.78,INR,405,51,cold,34,false,,discontinued
MAT-00093,Serialization Label,label,SUP-0180,sheets,2718.45,JPY,305,84,cold,12,true,,pending_approval
MAT-00094,Blister Alu-Alu,packaging,SUP-0145,L,3235.18,INR,496,45,ambient,12,true,,active
MAT-00095,Carton Box Small,packaging,SUP-0143,mL,2553.63,JPY,353,76,cold,34,false,,active
MAT-00096,Primary Label A4,label,SUP-0124,L,1725.16,USD,152,56,cold,13,true,,active
MAT-00097,HDPE Bottle 120cc,packaging,SUP-0134,rolls,2276.94,INR,179,63,cold,34,false,,active
MAT-00098,Omeprazole Magnesium,active_ingredient,SUP-0006,units,223.89,GBP,332,16,controlled,57,true,97107-41-8,active
MAT-00099,Acetone AR Grade,raw_chemical,SUP-0119,L,1655.28,EUR,409,54,controlled,17,true,83998-94-6,active
MAT-00100,Cetirizine HCl,active_ingredient,SUP-0100,mL,2248.15,USD,361,30,cold,23,true,75724-23-8,active
MAT-00101,Blister PVC/Alu,packaging,SUP-0068,rolls,985.77,INR,271,84,ambient,44,false,,discontinued
MAT-00102,Hologram Sticker,label,SUP-0159,g,1739.95,EUR,417,89,controlled,57,false,,discontinued
MAT-00103,Methanol AR Grade,raw_chemical,SUP-0031,g,3360.71,EUR,157,17,cold,29,true,67004-59-6,discontinued
MAT-00104,Gelatin Capsule Shell,excipient,SUP-0163,sheets,2115.48,JPY,356,85,cold,41,true,64228-46-2,active
MAT-00105,Dropper Assembly,packaging,SUP-0092,pcs,3097.24,USD,249,20,cold,58,false,,discontinued
MAT-00106,Phosphoric Acid,raw_chemical,SUP-0107,pcs,2045.97,INR,251,24,cold,42,true,99803-38-4,active
MAT-00107,HDPE Bottle 60cc,packaging,SUP-0200,mL,2688.27,INR,290,66,controlled,38,true,,discontinued
MAT-00108,Paracetamol DC,active_ingredient,SUP-0139,units,3875.68,USD,390,59,controlled,19,false,13473-93-3,active
MAT-00109,Atorvastatin Calcium,active_ingredient,SUP-0113,pcs,1314.44,USD,398,33,cold,57,false,93209-88-6,active
MAT-00110,Span 60,raw_chemical,SUP-0053,L,3924.35,USD,292,47,controlled,23,true,42471-47-4,discontinued
MAT-00111,Child-Resistant Cap,packaging,SUP-0106,g,678.38,USD,142,86,cold,50,true,,active
MAT-00112,Titanium Dioxide,excipient,SUP-0126,rolls,4142.49,EUR,296,83,ambient,46,false,49224-67-1,pending_approval
MAT-00113,Ciprofloxacin HCl,active_ingredient,SUP-0178,sheets,2578.31,GBP,233,65,ambient,43,true,96089-21-7,pending_approval
MAT-00114,Pre-filled Syringe 1ml,packaging,SUP-0056,g,3978.49,INR,423,30,ambient,23,false,,active
MAT-00115,Ampoule 5ml,packaging,SUP-0088,L,2830.93,USD,24,15,controlled,56,false,,active
MAT-00116,Amoxicillin Trihydrate,active_ingredient,SUP-0110,L,2206.71,EUR,353,19,controlled,25,true,35966-21-5,active
MAT-00117,Amlodipine Besylate,active_ingredient,SUP-0014,rolls,3322.71,INR,321,42,controlled,50,true,56310-93-1,pending_approval
MAT-00118,Atorvastatin Calcium,active_ingredient,SUP-0034,kg,1067.5,JPY,116,69,controlled,34,true,1106-99-5,active
MAT-00119,Leaflet Insert A5,label,SUP-0099,L,2388.76,USD,375,16,cold,26,false,,active
MAT-00120,Povidone K30,excipient,SUP-0165,sheets,3867.42,EUR,36,70,controlled,6,true,57734-54-3,pending_approval
MAT-00121,Iron Oxide Red,excipient,SUP-0056,sheets,3080.57,USD,460,15,cold,54,true,77326-59-5,active
MAT-00122,Carton Box Large,packaging,SUP-0022,L,1239.31,EUR,284,79,controlled,52,false,,pending_approval
MAT-00123,Duloxetine HCl,active_ingredient,SUP-0131,units,1027.63,EUR,383,53,ambient,47,true,31420-73-6,active
MAT-00124,Magnesium Stearate,excipient,SUP-0136,pcs,3190.59,USD,185,43,cold,30,false,47945-79-2,active
MAT-00125,Amoxicillin Trihydrate,active_ingredient,SUP-0068,kg,2937.02,EUR,21,10,ambient,38,false,82438-74-6,active
MAT-00126,Shipping Label,label,SUP-0158,g,3202.87,EUR,143,13,ambient,11,true,,active
MAT-00127,Glycerin USP,raw_chemical,SUP-0196,rolls,1953.96,USD,159,58,controlled,60,true,7639-41-1,active
MAT-00128,Metformin HCl,active_ingredient,SUP-0080,pcs,3061.68,EUR,62,4,controlled,14,true,21523-73-5,discontinued
MAT-00129,Hydrochloric Acid,raw_chemical,SUP-0192,units,835.23,GBP,376,18,cold,27,false,35699-77-1,active
MAT-00130,Sodium Chloride,raw_chemical,SUP-0093,g,2480.99,USD,256,75,cold,29,true,33488-23-9,pending_approval
MAT-00131,Amoxicillin Trihydrate,active_ingredient,SUP-0012,mL,3704.03,USD,126,8,ambient,29,false,19721-32-0,discontinued
MAT-00132,Tamper Evident Seal,label,SUP-0185,mL,1609.35,GBP,139,12,controlled,29,true,,discontinued
MAT-00133,Sertraline HCl,active_ingredient,SUP-0012,L,1116.31,INR,36,62,ambient,55,false,42949-21-8,active
MAT-00134,Fluoxetine HCl,active_ingredient,SUP-0078,rolls,1003.76,JPY,125,62,ambient,43,false,25664-79-3,active
MAT-00135,Escitalopram Oxalate,active_ingredient,SUP-0089,sheets,120.04,USD,487,45,cold,54,false,96791-49-1,active
MAT-00136,Ethanol 96%,raw_chemical,SUP-0037,mL,2099.37,GBP,48,8,cold,60,false,91911-57-7,pending_approval
MAT-00137,Aspirin Fine Powder,active_ingredient,SUP-0020,g,2527.39,JPY,291,10,ambient,48,true,31084-47-4,active
MAT-00138,Leaflet Insert A4,label,SUP-0060,rolls,1590.63,USD,484,28,cold,55,true,,active
MAT-00139,Ibuprofen,active_ingredient,SUP-0105,L,2248.11,USD,275,48,cold,34,false,60781-43-1,active
MAT-00140,PEG 6000,excipient,SUP-0011,units,4132.02,EUR,428,44,cold,11,true,46677-60-8,active
MAT-00141,HDPE Bottle 60cc,packaging,SUP-0008,units,4100.54,INR,438,60,controlled,53,true,,active
MAT-00142,Carton Print Sheet,label,SUP-0032,g,4019.58,USD,32,31,cold,18,false,,active
MAT-00143,Atorvastatin Calcium,active_ingredient,SUP-0006,units,4587.18,USD,102,85,ambient,57,true,12105-52-1,active
MAT-00144,Barcode Label Roll,label,SUP-0111,kg,840.36,INR,255,6,ambient,49,false,,active
MAT-00145,Glass Vial 10ml,packaging,SUP-0072,mL,4541.57,INR,453,22,cold,45,true,,pending_approval
MAT-00146,Carton Box Small,packaging,SUP-0123,pcs,2060.26,USD,45,38,ambient,14,false,,active
MAT-00147,Tween 80,raw_chemical,SUP-0140,mL,3153.96,USD,196,48,ambient,40,false,45143-82-8,active
MAT-00148,Serialization Label,label,SUP-0153,units,899.49,EUR,16,38,cold,57,false,,discontinued
MAT-00149,Blister PVC/Alu,packaging,SUP-0064,mL,4869.91,EUR,137,71,controlled,9,true,,discontinued
MAT-00150,Carton Print Sheet,label,SUP-0046,rolls,4676.06,EUR,304,43,controlled,50,false,,discontinued
MAT-00151,Fluoxetine HCl,active_ingredient,SUP-0037,rolls,4737.82,JPY,486,27,ambient,40,false,23060-72-0,active
MAT-00152,Amoxicillin Trihydrate,active_ingredient,SUP-0135,mL,3008.51,INR,1,45,controlled,18,true,44713-32-5,active
MAT-00153,Lisinopril Dihydrate,active_ingredient,SUP-0199,L,2933.25,USD,434,70,ambient,10,false,92395-94-6,discontinued
MAT-00154,Lisinopril Dihydrate,active_ingredient,SUP-0041,rolls,1509.17,INR,406,84,ambient,47,false,22883-81-9,active
MAT-00155,Starch 1500,excipient,SUP-0033,L,1892.23,EUR,374,3,controlled,42,false,74431-14-2,discontinued
MAT-00156,Blister PVC/Alu,packaging,SUP-0128,mL,3198.41,EUR,170,12,cold,28,false,,active
MAT-00157,Ciprofloxacin HCl,active_ingredient,SUP-0054,rolls,2233.43,EUR,355,11,ambient,22,true,94476-10-0,active
MAT-00158,Tamper Evident Seal,label,SUP-0127,sheets,4845.52,INR,180,72,ambient,12,false,,discontinued
MAT-00159,Lactose Monohydrate,excipient,SUP-0076,L,2256.71,USD,164,36,cold,10,false,22346-58-2,pending_approval
MAT-00160,Duloxetine HCl,active_ingredient,SUP-0124,g,1690.08,USD,221,86,cold,44,false,20641-16-1,active
MAT-00161,Coating Opadry White,excipient,SUP-0185,mL,2046.69,JPY,136,87,ambient,25,true,12621-16-6,discontinued
MAT-00162,Methanol AR Grade,raw_chemical,SUP-0001,pcs,768.37,INR,45,40,controlled,46,false,26221-22-0,active
MAT-00163,Gelatin Capsule Shell,excipient,SUP-0030,units,4885.3,GBP,402,53,ambient,37,false,11995-92-8,active
MAT-00164,Sodium Lauryl Sulfate,excipient,SUP-0048,rolls,4427.52,INR,23,36,ambient,35,false,29704-44-9,active
MAT-00165,Sodium Lauryl Sulfate,excipient,SUP-0139,g,428.99,INR,498,78,cold,41,true,50788-76-6,discontinued
MAT-00166,Primary Label A5,label,SUP-0102,mL,2381.57,USD,258,76,controlled,57,true,,active
MAT-00167,Carton Print Sheet,label,SUP-0055,L,4745.33,EUR,65,8,ambient,11,false,,active
MAT-00168,Magnesium Stearate,excipient,SUP-0023,units,1599.09,INR,285,53,controlled,26,false,68166-68-0,pending_approval
MAT-00169,Hydrochloric Acid,raw_chemical,SUP-0038,sheets,563.04,JPY,302,77,cold,12,true,37548-78-5,active
MAT-00170,Carton Box Medium,packaging,SUP-0156,sheets,3274.11,INR,20,25,ambient,31,true,,discontinued
MAT-00171,Benzyl Alcohol,raw_chemical,SUP-0085,sheets,194.39,EUR,26,63,ambient,29,true,44334-48-4,active
MAT-00172,Leaflet Insert A5,label,SUP-0035,g,4862.5,GBP,499,59,ambient,23,false,,discontinued
MAT-00173,Cetirizine HCl,active_ingredient,SUP-0190,mL,2208.86,INR,389,69,ambient,58,true,67587-30-1,active
MAT-00174,Span 60,raw_chemical,SUP-0135,sheets,678.68,JPY,15,25,cold,59,true,7603-41-0,active
MAT-00175,Ciprofloxacin HCl,active_ingredient,SUP-0095,rolls,3523.32,INR,259,53,controlled,13,true,31761-57-7,discontinued
MAT-00176,Hologram Sticker,label,SUP-0151,L,4802.62,JPY,180,47,cold,59,false,,pending_approval
MAT-00177,Metformin HCl,active_ingredient,SUP-0042,units,137.74,JPY,400,30,cold,47,true,88876-36-4,pending_approval
MAT-00178,Primary Label A4,label,SUP-0122,kg,4323.22,EUR,332,25,controlled,57,true,,active
MAT-00179,Shrink Wrap Film,packaging,SUP-0165,units,3563.85,GBP,217,51,ambient,35,false,,active
MAT-00180,Barcode Label Roll,label,SUP-0102,units,3386.14,JPY,53,3,controlled,48,false,,discontinued
MAT-00181,Purified Water USP,raw_chemical,SUP-0124,units,1492.73,USD,173,38,controlled,26,false,34279-93-4,active
MAT-00182,PEG 6000,excipient,SUP-0104,mL,4498.49,GBP,349,20,controlled,7,false,38795-43-6,active
MAT-00183,Barcode Label Roll,label,SUP-0049,kg,2915.33,GBP,372,31,controlled,40,false,,pending_approval
MAT-00184,Dropper Assembly,packaging,SUP-0169,units,4227.17,JPY,93,40,cold,36,true,,pending_approval
MAT-00185,Nasal Spray Pump,packaging,SUP-0086,L,4734.64,USD,114,48,cold,53,false,,active
MAT-00186,Glass Vial 10ml,packaging,SUP-0119,rolls,1303.17,USD,241,9,controlled,43,true,,active
MAT-00187,Titanium Dioxide,excipient,SUP-0136,g,4337.56,GBP,212,9,cold,14,true,44964-62-9,active
MAT-00188,Hypromellose,excipient,SUP-0200,rolls,4312.04,USD,250,45,controlled,17,false,83215-17-0,active
MAT-00189,HDPE Bottle 60cc,packaging,SUP-0148,mL,3806.09,EUR,251,14,cold,45,false,,pending_approval
MAT-00190,Hologram Sticker,label,SUP-0099,sheets,2145.41,USD,20,71,cold,52,false,,active
MAT-00191,Blister Alu-Alu,packaging,SUP-0161,mL,90.07,EUR,116,47,ambient,14,true,,active
MAT-00192,Span 60,raw_chemical,SUP-0012,units,835.52,GBP,486,40,ambient,52,false,56891-97-2,active
MAT-00193,Carton Print Sheet,label,SUP-0104,rolls,3750.7,USD,117,31,controlled,14,true,,pending_approval
MAT-00194,Metformin HCl,active_ingredient,SUP-0097,L,616.25,GBP,395,71,controlled,9,true,86815-23-0,active
MAT-00195,Omeprazole Magnesium,active_ingredient,SUP-0141,sheets,2221.85,GBP,243,22,cold,50,true,39517-63-1,pending_approval
MAT-00196,Propylene Glycol,raw_chemical,SUP-0036,units,3114.18,INR,426,16,controlled,52,true,37104-24-1,active
MAT-00197,HPMC Capsule Shell,excipient,SUP-0052,mL,3889.91,GBP,361,55,ambient,16,true,71895-73-3,pending_approval
MAT-00198,Primary Label A4,label,SUP-0172,rolls,1172.91,USD,465,17,controlled,48,false,,active
MAT-00199,Omeprazole Magnesium,active_ingredient,SUP-0066,g,3617.96,EUR,234,40,ambient,35,true,13132-32-0,active
MAT-00200,Blister PVC/Alu,packaging,SUP-0025,rolls,2130.26,USD,5,20,controlled,47,true,,active
MAT-00201,Glass Vial 10ml,packaging,SUP-0188,pcs,4775.47,USD,191,46,cold,13,false,,active
MAT-00202,Hologram Sticker,label,SUP-0108,units,4178.62,EUR,58,19,controlled,52,true,,active
MAT-00203,Clopidogrel Bisulfate,active_ingredient,SUP-0146,sheets,4556.18,INR,93,81,ambient,55,false,80181-13-2,active
MAT-00204,Hologram Sticker,label,SUP-0012,g,4438.03,USD,134,86,ambient,6,true,,pending_approval
MAT-00205,Shrink Wrap Film,packaging,SUP-0064,g,2164.52,INR,178,87,controlled,47,false,,active
MAT-00206,Benzyl Alcohol,raw_chemical,SUP-0041,kg,58.72,JPY,435,63,ambient,16,true,98541-72-5,active
MAT-00207,HDPE Bottle 120cc,packaging,SUP-0141,units,252.23,INR,207,33,cold,35,false,,discontinued
MAT-00208,Hologram Sticker,label,SUP-0081,g,4283.02,USD,255,86,cold,12,false,,active
MAT-00209,Duloxetine HCl,active_ingredient,SUP-0159,kg,4129.63,GBP,456,68,controlled,19,false,44726-56-0,active
MAT-00210,Barcode Label Roll,label,SUP-0154,rolls,2800.97,INR,367,87,ambient,51,false,,active
MAT-00211,Paracetamol DC,active_ingredient,SUP-0163,mL,11.48,GBP,281,69,ambient,50,true,6050-31-7,active
MAT-00212,Leaflet Insert A5,label,SUP-0049,g,1271.82,USD,477,53,cold,35,true,,pending_approval
MAT-00213,Blister Alu-Alu,packaging,SUP-0163,g,3785.87,JPY,64,60,ambient,48,true,,active
MAT-00214,Cetirizine HCl,active_ingredient,SUP-0150,kg,2766.36,INR,474,68,cold,50,true,95797-26-1,active
MAT-00215,Acetone AR Grade,raw_chemical,SUP-0108,rolls,2520.8,JPY,469,34,ambient,31,false,38607-67-2,active
MAT-00216,Shipping Label,label,SUP-0081,units,4215.45,JPY,324,30,cold,19,false,,pending_approval
MAT-00217,Carton Box Large,packaging,SUP-0046,L,4906.69,JPY,278,84,ambient,51,true,,active
MAT-00218,Glycerin USP,raw_chemical,SUP-0182,pcs,2914.24,INR,346,71,ambient,60,false,1723-76-1,active
MAT-00219,Primary Label A4,label,SUP-0052,L,265.8,GBP,385,23,ambient,49,false,,active
MAT-00220,Escitalopram Oxalate,active_ingredient,SUP-0009,units,1020.4,GBP,417,60,cold,45,true,97359-92-8,active
MAT-00221,Lactose Monohydrate,excipient,SUP-0098,units,3464.83,INR,214,90,ambient,41,true,1749-42-3,discontinued
MAT-00222,Serialization Label,label,SUP-0194,mL,4557.48,JPY,280,80,cold,55,true,,active
MAT-00223,Primary Label A5,label,SUP-0048,L,4917.27,EUR,377,68,cold,30,true,,active
MAT-00224,Carton Box Medium,packaging,SUP-0066,units,650.77,USD,170,62,controlled,15,true,,active
MAT-00225,Carton Box Large,packaging,SUP-0158,kg,3868.42,GBP,252,76,controlled,28,true,,pending_approval
MAT-00226,Carton Box Small,packaging,SUP-0018,mL,4784.96,JPY,82,56,controlled,40,false,,active
MAT-00227,Carton Box Large,packaging,SUP-0085,mL,4417.04,GBP,185,40,cold,54,false,,discontinued
MAT-00228,Gabapentin,active_ingredient,SUP-0062,g,3344.86,JPY,471,82,cold,8,false,50037-24-6,active
MAT-00229,Sodium Chloride,raw_chemical,SUP-0198,units,124.02,GBP,264,68,ambient,37,true,38904-93-3,active
MAT-00230,Hydrochloric Acid,raw_chemical,SUP-0198,g,4741.08,JPY,274,3,controlled,10,true,87912-90-3,pending_approval
MAT-00231,Tamper Evident Seal,label,SUP-0166,g,1028.3,USD,383,90,cold,7,false,,pending_approval
MAT-00232,Blister Alu-Alu,packaging,SUP-0046,kg,438.06,GBP,286,12,controlled,58,true,,active
MAT-00233,Tamper Evident Seal,label,SUP-0111,sheets,2255.9,GBP,9,52,controlled,13,true,,pending_approval
MAT-00234,Potassium Chloride,raw_chemical,SUP-0012,g,3779.93,USD,184,67,cold,24,false,79553-21-4,active
