transaction_id,account_id,transaction_date,transaction_type,amount,balance_after,description,merchant_name,merchant_category,channel,status,reference_number
TXN-700038,ACC-604337,2023-12-19 13:16:12,payment,8432.82,4971.1,Payment to ExxonMobil,ExxonMobil,Gas Stations,branch,completed,REF-016916644288
TXN-700039,ACC-603864,2023-06-27 05:28:15,deposit,6514.8,84773.92,Check Deposit,,,online,completed,REF-005542940202
TXN-700040,ACC-604946,2023-11-22 20:43:34,payment,8761.75,91844.18,Payment to GEICO,GEICO,Insurance,online,completed,REF-538333241065
TXN-700041,ACC-601563,2025-08-30 12:03:52,deposit,21580.86,62336.24,Mobile Deposit,,,atm,completed,REF-981282517083
TXN-700042,ACC-602281,2023-11-07 23:43:13,fee,31.39,31968.68,ATM Fee,,,atm,completed,REF-364937694878
TXN-700043,ACC-602598,2025-01-28 16:44:06,deposit,6784.21,93299.45,Check Deposit,,,branch,completed,REF-745965549837
TXN-700044,ACC-603926,2024-03-11 01:40:15,deposit,5760.38,8646.45,Direct Deposit,,,mobile,completed,REF-285609272763
TXN-700045,ACC-601481,2025-03-21 00:19:41,transfer,7574.64,70454.06,Internal Transfer,,,online,completed,REF-751649540803
TXN-700046,ACC-604453,2025-04-19 10:22:38,transfer,4132.02,44476.84,Internal Transfer,,,branch,failed,REF-252483521609
TXN-700047,ACC-600251,2024-05-18 13:18:25,payment,332.68,92262.15,Payment to Dell,Dell,Electronics,branch,pending,REF-785203374134
TXN-700048,ACC-602923,2025-04-12 08:16:35,withdrawal,5549.2,69192.37,Wire Transfer Out,,,atm,completed,REF-229724753203
TXN-700049,ACC-601928,2025-06-28 19:02:27,payment,2691.96,89411.42,Payment to IKEA,IKEA,Home Improvement,atm,completed,REF-209135234914
TXN-700050,ACC-603313,2025-03-24 00:51:36,withdrawal,2549.99,52931.4,Cash Withdrawal,,,mobile,reversed,REF-919942936355
TXN-700051,ACC-603072,2025-04-16 13:46:56,payment,8866.73,71681.9,Payment to Publix,Publix,Groceries,mobile,completed,REF-825939062069
TXN-700052,ACC-604093,2024-10-08 20:58:12,transfer,2469.78,58495.37,Zelle Transfer,,,mobile,completed,REF-075695586682
TXN-700053,ACC-602157,2023-09-11 00:30:13,payment,6669.83,40911.74,Payment to Best Buy Online,Best Buy Online,Online Shopping,mobile,completed,REF-221652695938
TXN-700054,ACC-600290,2024-12-02 14:38:27,fee,27.72,85193.61,Monthly Maintenance Fee,,,online,completed,REF-933047835505
TXN-700055,ACC-601859,2024-04-25 15:27:26,withdrawal,5656.83,70565.33,Cash Withdrawal,,,online,completed,REF-309576456810
TXN-700056,ACC-601567,2025-09-14 13:10:51,payment,5987.4,55783.75,Payment to Microsoft 365,Microsoft 365,Subscription Services,mobile,completed,REF-993589543855
TXN-700057,ACC-600944,2024-10-23 00:08:15,transfer,807.8,31061.21,ACH Transfer,,,mobile,completed,REF-556731144346
TXN-700058,ACC-602062,2023-03-10 09:17:03,payment,8555.54,16900.21,Payment to Nationwide,Nationwide,Insurance,online,completed,REF-020775373533
TXN-700059,ACC-603324,2023-07-05 08:28:26,deposit,16135.16,80669.24,Mobile Deposit,,,atm,completed,REF-145252857775
TXN-700060,ACC-603970,2023-02-26 09:06:15,payment,2039.46,88091.17,Payment to Nike,Nike,Clothing,online,completed,REF-445413119080
TXN-700061,ACC-602961,2024-11-08 10:03:37,payment,2691.7,33949.2,Payment to Pearson,Pearson,Education,online,reversed,REF-381035239470
TXN-700062,ACC-604744,2025-12-27 12:18:46,fee,35.32,13333.25,Foreign Transaction Fee,,,online,reversed,REF-997125151230
TXN-700063,ACC-604773,2024-03-23 15:16:57,withdrawal,4106.53,55066.4,Cash Withdrawal,,,mobile,completed,REF-641141827106
TXN-700064,ACC-601617,2024-01-13 11:36:19,deposit,6538.57,80199.39,Mobile Deposit,,,mobile,completed,REF-415265093234
TXN-700065,ACC-602571,2025-03-11 11:06:12,deposit,20474.55,3581.01,Direct Deposit,,,online,completed,REF-358784152166
TXN-700066,ACC-602982,2024-01-21 12:02:12,transfer,4162.76,92619.12,Zelle Transfer,,,mobile,completed,REF-406597880689
TXN-700067,ACC-601441,2024-06-21 12:58:22,transfer,633.49,7790.17,External Transfer,,,online,completed,REF-133654361639
TXN-700068,ACC-601146,2023-05-07 19:21:31,withdrawal,1689.33,96317.94,Wire Transfer Out,,,mobile,completed,REF-059804201927
TXN-700069,ACC-603406,2023-01-27 19:13:12,transfer,2480.06,17470.6,ACH Transfer,,,atm,failed,REF-916788077290
TXN-700070,ACC-601424,2025-06-27 02:58:11,transfer,205.59,75756.74,External Transfer,,,online,completed,REF-325508083598
TXN-700071,ACC-603855,2023-11-17 19:30:00,deposit,13332.46,39944.27,Cash Deposit,,,atm,completed,REF-519318825563
TXN-700072,ACC-600950,2025-03-21 02:47:58,withdrawal,9409.07,71934.27,Cash Withdrawal,,,branch,failed,REF-273330209856
TXN-700073,ACC-602621,2024-11-09 16:39:56,transfer,1852.66,90408.96,External Transfer,,,branch,completed,REF-529921350798
TXN-700074,ACC-603767,2023-07-05 16:27:16,payment,2835.18,97795.13,Payment to Walmart.com,Walmart.com,Online Shopping,mobile,completed,REF-595410390749
TXN-700075,ACC-604324,2025-02-10 01:10:02,payment,2524.36,74155.77,Payment to Sunoco,Sunoco,Gas Stations,online,completed,REF-345613621105
TXN-700076,ACC-602822,2025-08-10 22:37:51,withdrawal,2787.22,51369.47,Wire Transfer Out,,,atm,completed,REF-467903621045
TXN-700077,ACC-602131,2023-08-14 03:01:47,deposit,6683.51,1530.58,Direct Deposit,,,online,completed,REF-069651985058
TXN-700078,ACC-604666,2023-08-01 19:26:03,transfer,4147.75,11004.67,Zelle Transfer,,,atm,completed,REF-301410651896
TXN-700079,ACC-600106,2023-11-11 15:29:23,withdrawal,7288.09,81764.99,Cash Withdrawal,,,atm,completed,REF-018455664294
TXN-700080,ACC-603694,2024-07-27 03:53:25,withdrawal,4834.34,94896.85,ATM Withdrawal,,,online,completed,REF-026576461992
TXN-700081,ACC-604337,2024-11-12 15:58:52,deposit,23089.09,84719.67,Direct Deposit,,,online,completed,REF-477509475335
TXN-700082,ACC-601740,2024-02-02 20:36:54,payment,5912.45,237.31,Payment to Audible,Audible,Subscription Services,mobile,reversed,REF-811237017207
TXN-700083,ACC-603057,2025-01-18 15:39:50,withdrawal,6897.17,40401.82,ATM Withdrawal,,,mobile,completed,REF-156588839342
TXN-700084,ACC-600544,2023-08-14 23:51:20,withdrawal,9563.59,58004.69,ATM Withdrawal,,,mobile,failed,REF-377082144093
TXN-700085,ACC-600283,2024-06-12 01:28:26,withdrawal,6182.11,60762.51,Cash Withdrawal,,,atm,completed,REF-745599380151
TXN-700086,ACC-603241,2024-09-30 07:32:46,payment,6643.15,85114.11,Payment to Best Buy Online,Best Buy Online,Online Shopping,mobile,completed,REF-577358139873
TXN-700087,ACC-601175,2024-01-28 01:02:58,transfer,1087.42,88454.43,ACH Transfer,,,atm,completed,REF-828008573466
TXN-700088,ACC-602342,2025-11-15 05:28:52,deposit,287.8,43049.72,Mobile Deposit,,,mobile,completed,REF-030011073812
TXN-700089,ACC-602310,2025-12-24 18:40:52,fee,30.35,76326.06,Wire Transfer Fee,,,branch,completed,REF-594511549298
TXN-700090,ACC-604499,2023-03-20 14:20:18,deposit,767.83,80391.29,Cash Deposit,,,mobile,completed,REF-695203313462
TXN-700091,ACC-604665,2025-12-19 17:21:29,transfer,9791.01,86303.55,Zelle Transfer,,,online,completed,REF-688680431774
TXN-700092,ACC-601808,2023-08-20 09:01:23,fee,14.58,43209.73,Wire Transfer Fee,,,atm,completed,REF-172523731940
TXN-700093,ACC-601004,2025-10-30 00:23:13,transfer,7262.39,14395.19,External Transfer,,,online,completed,REF-654121200208
TXN-700094,ACC-604495,2024-11-03 14:53:43,transfer,4878.09,89394.79,Zelle Transfer,,,mobile,completed,REF-197455166105
TXN-700095,ACC-604515,2024-06-25 06:13:42,payment,5615.77,10238.22,Payment to Best Buy,Best Buy,Electronics,online,completed,REF-757092306266
TXN-700096,ACC-600918,2023-12-08 05:17:46,withdrawal,7121.64,94099.34,Cash Withdrawal,,,online,completed,REF-811170015872
TXN-700097,ACC-602530,2023-09-09 13:35:28,fee,9.29,10092.16,Wire Transfer Fee,,,mobile,completed,REF-488744562062
TXN-700098,ACC-600295,2023-09-21 04:00:48,transfer,7335.96,17845.07,ACH Transfer,,,mobile,completed,REF-694304619504
TXN-700099,ACC-603498,2024-02-25 04:28:16,transfer,1372.89,34538.7,Zelle Transfer,,,online,reversed,REF-478217634514
TXN-700100,ACC-601682,2023-08-28 03:15:11,deposit,14082.02,4284.39,Mobile Deposit,,,online,completed,REF-001906197172
TXN-700101,ACC-603637,2025-02-07 19:14:34,deposit,6239.99,5913.8,Mobile Deposit,,,branch,completed,REF-145420147575
TXN-700102,ACC-604325,2024-10-24 14:24:09,withdrawal,7958.96,70437.39,Wire Transfer Out,,,mobile,completed,REF-612643103295
TXN-700103,ACC-604966,2023-03-20 16:44:05,withdrawal,2933.7,34194.46,Wire Transfer Out,,,mobile,reversed,REF-414538659162
TXN-700104,ACC-600609,2023-04-14 17:10:28,payment,2454.67,38747.34,Payment to Adobe,Adobe,Subscription Services,atm,completed,REF-228412801380
TXN-700105,ACC-603011,2025-02-08 06:19:56,deposit,24520.32,1974.68,Mobile Deposit,,,online,failed,REF-628642386107
TXN-700106,ACC-602468,2024-09-22 23:34:37,payment,2622.53,44030.74,Payment to Wendys,Wendys,Restaurants,atm,completed,REF-892131104253
TXN-700107,ACC-604536,2024-10-22 06:12:36,withdrawal,7985.72,18533.17,ATM Withdrawal,,,atm,completed,REF-697322822960
TXN-700108,ACC-603055,2025-09-03 12:14:41,transfer,2110.77,15181.59,Zelle Transfer,,,mobile,completed,REF-158496851102
TXN-700109,ACC-601759,2023-03-12 04:53:30,withdrawal,4248.82,39166.99,Wire Transfer Out,,,atm,completed,REF-230417973293
TXN-700110,ACC-604204,2025-07-24 11:04:16,deposit,3771.52,73222.1,Direct Deposit,,,atm,completed,REF-195459812847
TXN-700111,ACC-600928,2023-01-22 05:51:39,payment,7596.19,49245.06,Payment to ExxonMobil,ExxonMobil,Gas Stations,online,completed,REF-250207499774
TXN-700112,ACC-601661,2025-04-30 21:00:41,payment,2194.56,62631.38,Payment to B&H Photo,B&H Photo,Electronics,mobile,completed,REF-728513451941
TXN-700113,ACC-602307,2024-05-14 00:41:08,payment,7534.93,78329.45,Payment to UnitedHealth,UnitedHealth,Healthcare,online,completed,REF-161012859668
TXN-700114,ACC-600537,2023-08-12 09:29:58,payment,1338.97,93955.71,Payment to Subway,Subway,Restaurants,mobile,completed,REF-005088394042
TXN-700115,ACC-600265,2023-04-04 22:45:03,deposit,18413.33,46630.55,Mobile Deposit,,,branch,completed,REF-798338967871
TXN-700116,ACC-600551,2024-01-10 11:41:15,payment,7515.78,21121.01,Payment to Pottery Barn,Pottery Barn,Home Improvement,online,completed,REF-951409587560
TXN-700117,ACC-602993,2025-06-05 04:15:31,fee,49.17,52978.97,Overdraft Fee,,,online,completed,REF-011229174481
TXN-700118,ACC-601958,2025-02-07 08:35:14,deposit,3828.14,24322.44,Direct Deposit,,,branch,completed,REF-082931608065
TXN-700119,ACC-601171,2025-06-22 07:16:28,transfer,973.95,57286.11,Zelle Transfer,,,mobile,completed,REF-849246161678
TXN-700120,ACC-604591,2024-08-19 18:59:14,transfer,310.65,81260.51,Zelle Transfer,,,online,completed,REF-891123199419
TXN-700121,ACC-600248,2024-07-17 08:18:17,deposit,4992.8,45602.44,Wire Transfer In,,,atm,completed,REF-903053461396
TXN-700122,ACC-603725,2023-06-18 21:49:10,transfer,668.88,86274.16,External Transfer,,,mobile,pending,REF-284917614864
TXN-700123,ACC-603002,2025-12-19 02:04:52,withdrawal,7520.67,97864.75,Wire Transfer Out,,,mobile,completed,REF-205816791303
TXN-700124,ACC-604355,2023-09-01 00:24:19,payment,5676.51,61425.92,Payment to Walgreens,Walgreens,Healthcare,online,completed,REF-202372523001
TXN-700125,ACC-603543,2023-12-05 07:31:17,deposit,883.28,40235.48,Check Deposit,,,branch,completed,REF-565095253742
TXN-700126,ACC-600598,2025-01-01 20:34:41,transfer,7735.88,1898.81,ACH Transfer,,,mobile,completed,REF-201910159652
TXN-700127,ACC-600818,2025-07-31 08:47:06,deposit,24282.86,24616.71,Cash Deposit,,,online,completed,REF-660023506377
TXN-700128,ACC-602782,2023-09-08 05:45:34,payment,7726.25,76843.22,Payment to Panera Bread,Panera Bread,Restaurants,online,completed,REF-011574565388
TXN-700129,ACC-602984,2023-05-28 23:54:21,withdrawal,2056.0,79851.81,Cash Withdrawal,,,mobile,completed,REF-114217062147
TXN-700130,ACC-601728,2025-01-04 16:42:02,transfer,9761.27,78139.81,ACH Transfer,,,online,completed,REF-588128289959
TXN-700131,ACC-600347,2023-08-10 21:55:41,deposit,1286.91,30106.36,Check Deposit,,,mobile,completed,REF-510640997596
TXN-700132,ACC-602865,2023-05-15 20:31:28,transfer,3146.12,17870.25,External Transfer,,,online,completed,REF-645799370310
TXN-700133,ACC-602799,2024-01-28 06:31:08,deposit,7965.72,89585.95,Mobile Deposit,,,atm,completed,REF-234969677950
TXN-700134,ACC-600046,2023-07-24 23:08:26,deposit,20620.31,20509.31,Direct Deposit,,,online,completed,REF-666141653217
TXN-700135,ACC-602100,2023-02-14 09:59:14,deposit,6396.83,84499.83,Wire Transfer In,,,atm,pending,REF-048596048761
TXN-700136,ACC-601672,2023-09-22 06:53:59,deposit,17581.07,3104.74,Cash Deposit,,,mobile,completed,REF-862239919703
TXN-700137,ACC-600471,2025-12-15 01:37:18,fee,4.0,37510.49,Foreign Transaction Fee,,,mobile,completed,REF-207832939276
TXN-700138,ACC-602387,2025-06-14 20:05:23,withdrawal,6421.37,23312.25,ATM Withdrawal,,,online,completed,REF-333003254084
TXN-700139,ACC-600791,2024-03-23 10:47:37,transfer,7871.23,78737.16,Zelle Transfer,,,atm,completed,REF-629376738663
TXN-700140,ACC-603209,2025-05-03 06:48:47,withdrawal,6590.86,67210.47,ATM Withdrawal,,,online,completed,REF-550565502186
TXN-700141,ACC-603468,2023-11-21 07:01:11,payment,9958.95,87518.9,Payment to LinkedIn Premium,LinkedIn Premium,Subscription Services,mobile,completed,REF-439025143516
TXN-700142,ACC-600311,2025-11-07 04:50:59,deposit,8829.69,17279.58,Cash Deposit,,,atm,completed,REF-288026884623
TXN-700143,ACC-601772,2025-12-23 08:18:21,deposit,15054.51,88373.96,Wire Transfer In,,,online,completed,REF-202669731571
TXN-700144,ACC-604925,2025-09-10 03:43:50,transfer,3083.04,28705.56,Zelle Transfer,,,online,completed,REF-670984784605
TXN-700145,ACC-603284,2024-01-14 14:04:21,transfer,1551.75,68295.25,Internal Transfer,,,mobile,completed,REF-916922839382
TXN-700146,ACC-602845,2023-02-19 05:07:29,payment,595.82,79268.7,Payment to Amazon,Amazon,Online Shopping,online,completed,REF-777755486218
TXN-700147,ACC-602874,2024-08-08 00:25:18,payment,1235.67,32681.05,Payment to Chilis,Chilis,Restaurants,online,completed,REF-058711465689
TXN-700148,ACC-601458,2023-04-12 07:18:57,deposit,19799.71,30495.2,Cash Deposit,,,mobile,completed,REF-839812775075
TXN-700149,ACC-604993,2025-09-25 12:10:56,deposit,8752.74,71453.82,Mobile Deposit,,,mobile,reversed,REF-489502616514
TXN-700150,ACC-600801,2023-02-20 10:18:01,fee,14.78,50166.4,Foreign Transaction Fee,,,online,completed,REF-678901646969
TXN-700151,ACC-604991,2023-09-28 16:21:53,payment,9293.66,52574.93,Payment to Adobe,Adobe,Subscription Services,online,completed,REF-978018757368
TXN-700152,ACC-603713,2025-09-12 20:10:31,payment,5795.75,83696.55,Payment to Allstate,Allstate,Insurance,online,completed,REF-020869988045
TXN-700153,ACC-603600,2025-04-09 04:43:24,transfer,7218.66,91479.39,Internal Transfer,,,online,completed,REF-537726406163
TXN-700154,ACC-604949,2023-07-08 18:19:01,transfer,1917.74,87852.37,Zelle Transfer,,,online,completed,REF-663190446766
TXN-700155,ACC-604390,2023-11-30 15:12:17,transfer,6297.08,67631.95,Zelle Transfer,,,atm,completed,REF-194711023654
TXN-700156,ACC-604869,2024-07-11 09:55:39,payment,6034.65,66358.12,Payment to Adobe,Adobe,Subscription Services,mobile,completed,REF-134421318901
TXN-700157,ACC-600573,2023-01-21 19:57:03,payment,8341.74,34487.65,Payment to Disney+,Disney+,Entertainment,branch,completed,REF-208203507430
TXN-700158,ACC-604940,2025-04-16 13:40:57,withdrawal,3725.57,64295.97,Cash Withdrawal,,,mobile,pending,REF-330618115451
TXN-700159,ACC-603983,2023-08-14 01:57:31,transfer,1237.59,44817.6,External Transfer,,,online,completed,REF-139717428664
TXN-700160,ACC-603414,2025-02-21 10:35:36,deposit,5062.32,54687.86,Cash Deposit,,,branch,completed,REF-479860356897
TXN-700161,ACC-603808,2025-03-29 15:48:33,payment,8715.68,66475.86,Payment to Micro Center,Micro Center,Electronics,online,failed,REF-058314301698
TXN-700162,ACC-603074,2023-08-05 02:39:44,deposit,7029.9,53494.37,Wire Transfer In,,,online,completed,REF-407640875140
TXN-700163,ACC-602227,2024-06-20 22:26:17,payment,7567.92,72488.85,Payment to Best Buy,Best Buy,Electronics,atm,completed,REF-840050712145
TXN-700164,ACC-602964,2025-02-23 09:15:52,transfer,1688.95,10562.98,External Transfer,,,online,completed,REF-826222964802
TXN-700165,ACC-604995,2023-04-17 12:31:28,withdrawal,5012.05,94384.48,Wire Transfer Out,,,online,completed,REF-784669389228
TXN-700166,ACC-602868,2025-04-16 03:05:14,transfer,9035.25,62789.12,Internal Transfer,,,branch,completed,REF-636389197420
TXN-700167,ACC-604000,2024-09-11 18:05:28,withdrawal,8318.08,32251.7,Cash Withdrawal,,,atm,completed,REF-459621059732
TXN-700168,ACC-603611,2025-03-23 19:26:56,payment,1629.97,51273.09,Payment to Apple Music,Apple Music,Entertainment,online,completed,REF-883509892988
TXN-700169,ACC-604756,2025-06-04 21:59:24,payment,5318.05,91504.35,Payment to Adobe,Adobe,Subscription Services,online,completed,REF-100009208993
TXN-700170,ACC-600233,2024-12-28 06:46:03,withdrawal,3070.45,3266.37,Wire Transfer Out,,,online,completed,REF-120015334225
TXN-700171,ACC-602443,2025-11-06 01:01:33,deposit,3682.53,63815.76,Wire Transfer In,,,online,completed,REF-492228956820
TXN-700172,ACC-600695,2024-04-16 05:36:33,transfer,2042.16,93675.17,ACH Transfer,,,branch,completed,REF-775587342294
TXN-700173,ACC-600165,2025-08-28 20:47:04,payment,7382.77,47973.21,Payment to Macys,Macys,Clothing,mobile,completed,REF-681771757292
TXN-700174,ACC-601310,2023-08-03 17:56:33,payment,2720.03,66431.53,Payment to Coursera,Coursera,Education,mobile,completed,REF-015495721181
TXN-700175,ACC-603337,2025-01-23 02:12:05,payment,6888.32,91281.51,Payment to Hertz,Hertz,Travel,atm,completed,REF-430463178836
TXN-700176,ACC-600938,2023-03-10 07:06:56,transfer,193.62,88155.73,Zelle Transfer,,,atm,completed,REF-674675986362
TXN-700177,ACC-603667,2025-06-07 22:13:05,payment,5823.43,95195.1,Payment to Olive Garden,Olive Garden,Restaurants,atm,completed,REF-147720717319
TXN-700178,ACC-604674,2023-05-06 23:24:01,deposit,20135.86,77451.06,Wire Transfer In,,,online,completed,REF-865883077416
TXN-700179,ACC-602081,2024-10-22 02:02:20,transfer,8025.52,34702.02,Internal Transfer,,,atm,completed,REF-758179972252
TXN-700180,ACC-600365,2023-05-26 10:32:32,withdrawal,5472.26,87373.93,Wire Transfer Out,,,online,completed,REF-315320194638
TXN-700181,ACC-600559,2023-10-08 21:21:00,deposit,8338.3,33329.43,Mobile Deposit,,,online,completed,REF-698587995443
TXN-700182,ACC-602566,2024-12-03 20:05:16,transfer,6358.0,25588.94,ACH Transfer,,,branch,completed,REF-183035142716
TXN-700183,ACC-603309,2024-03-28 15:30:56,payment,1368.34,89012.59,Payment to Walgreens,Walgreens,Healthcare,atm,completed,REF-859842097242
TXN-700184,ACC-603206,2024-05-07 01:18:38,deposit,24252.81,33736.91,Check Deposit,,,online,completed,REF-916937956692
TXN-700185,ACC-601921,2023-08-13 15:43:13,transfer,2175.25,62669.93,Zelle Transfer,,,mobile,completed,REF-071274741498
TXN-700186,ACC-600656,2024-10-10 07:41:46,deposit,10649.6,19459.97,Wire Transfer In,,,online,completed,REF-096383748520
TXN-700187,ACC-600075,2024-02-08 21:12:46,deposit,2092.42,62870.27,Direct Deposit,,,mobile,completed,REF-437919601658
TXN-700188,ACC-603480,2024-09-19 05:22:42,deposit,11251.93,84045.66,Mobile Deposit,,,mobile,completed,REF-596024220340
TXN-700189,ACC-602685,2025-09-28 14:52:53,payment,6386.27,29994.27,Payment to AMC Theatres,AMC Theatres,Entertainment,atm,completed,REF-203533747151
TXN-700190,ACC-604818,2023-04-03 02:00:55,deposit,23079.93,59081.88,Direct Deposit,,,atm,completed,REF-056129952004
TXN-700191,ACC-602669,2024-02-17 04:45:09,transfer,6477.77,65311.28,Zelle Transfer,,,branch,completed,REF-028612080359
TXN-700192,ACC-604147,2023-04-08 00:16:29,deposit,17875.88,92441.62,Direct Deposit,,,online,completed,REF-705945666840
TXN-700193,ACC-603828,2023-12-14 16:00:28,payment,9270.16,5295.82,Payment to AutoZone,AutoZone,Automotive,online,reversed,REF-736780890893
TXN-700194,ACC-603545,2025-02-13 22:35:02,transfer,6004.09,87654.55,Zelle Transfer,,,online,completed,REF-857324635236
TXN-700195,ACC-603254,2023-06-29 02:25:49,transfer,9967.16,28446.64,Internal Transfer,,,online,completed,REF-695260123983
TXN-700196,ACC-601486,2024-08-08 20:21:33,transfer,3013.47,82994.06,Zelle Transfer,,,online,completed,REF-855900792908
TXN-700197,ACC-603998,2024-02-16 19:52:58,withdrawal,8753.65,37976.55,Wire Transfer Out,,,mobile,completed,REF-285899840686
TXN-700198,ACC-600044,2025-01-20 21:15:37,transfer,6600.93,57890.53,Internal Transfer,,,branch,completed,REF-486360818118
TXN-700199,ACC-604719,2023-11-13 21:31:58,deposit,1923.16,30229.67,Check Deposit,,,online,completed,REF-186271297337
TXN-700200,ACC-601725,2025-03-14 23:26:51,withdrawal,7373.92,83152.31,ATM Withdrawal,,,online,completed,REF-658030922016
TXN-700201,ACC-603142,2023-05-15 20:43:28,payment,5148.34,78048.65,Payment to OReilly Auto,OReilly Auto,Automotive,online,completed,REF-159227343242
TXN-700202,ACC-602248,2024-08-04 13:50:58,withdrawal,3076.23,98420.6,ATM Withdrawal,,,atm,completed,REF-932786398238
