batch_id,product_id,product_name,batch_number,manufacturing_date,expiry_date,quantity_produced,quantity_approved,quantity_rejected,unit_of_measure,facility_id,production_line,status,batch_cost,created_at
BAT-000016,PRD-0045,Infliximab 100mg,BN-202312-5596,2023-12-29,2025-11-13,333331,326886,6445,syringes,FAC-019,PL-26,approved,49993.58,2023-12-30 04:12:44
BAT-000017,PRD-0009,Simvastatin 40mg,BN-202405-4883,2024-05-14,2027-02-20,301036,289435,11601,ampoules,FAC-016,PL-19,qa_review,70728.01,2024-05-15 00:47:40
BAT-000018,PRD-0021,Fluoxetine 20mg,BN-202503-6269,2025-03-04,2026-06-09,202401,199971,2430,capsules,FAC-017,PL-16,recalled,69672.04,2025-03-06 16:59:12
BAT-000019,PRD-0018,Montelukast 10mg,BN-202304-5525,2023-04-14,2025-07-17,205250,202085,3165,vials,FAC-012,PL-28,recalled,116775.01,2023-04-16 06:09:41
BAT-000020,PRD-0016,Clopidogrel 75mg,BN-202312-8906,2023-12-13,2026-09-21,2600,2578,22,vials,FAC-009,PL-11,approved,72962.31,2023-12-14 19:28:10
BAT-000021,PRD-0039,Adalimumab 40mg,BN-202504-4083,2025-04-13,2026-11-03,433084,411922,21162,capsules,FAC-010,PL-24,recalled,9554.16,2025-04-13 16:05:32
BAT-000022,PRD-0034,Furosemide 40mg,BN-202502-7930,2025-02-22,2026-12-08,131142,128062,3080,tablets,FAC-010,PL-09,recalled,31033.88,2025-02-22 22:18:02
BAT-000023,PRD-0002,Ibuprofen 200mg,BN-202302-2289,2023-02-14,2025-12-12,338635,324826,13809,syringes,FAC-015,PL-25,recalled,136516.09,2023-02-15 04:32:00
BAT-000024,PRD-0029,Doxycycline 100mg,BN-202508-8276,2025-08-30,2027-09-25,292118,282389,9729,syringes,FAC-004,PL-30,qa_review,41396.03,2025-08-31 00:51:56
BAT-000025,PRD-0013,Prednisone 10mg,BN-202507-3105,2025-07-31,2027-11-07,150297,145493,4804,syringes,FAC-001,PL-04,qa_review,8337.31,2025-08-01 02:32:32
BAT-000026,PRD-0036,Allopurinol 300mg,BN-202501-7144,2025-01-11,2027-01-23,75319,73844,1475,tablets,FAC-014,PL-21,approved,48920.69,2025-01-11 15:38:01
BAT-000027,PRD-0021,Fluoxetine 20mg,BN-202508-1645,2025-08-10,2026-09-14,338442,335788,2654,tablets,FAC-005,PL-16,approved,10049.75,2025-08-10 14:21:20
BAT-000028,PRD-0009,Simvastatin 40mg,BN-202308-4850,2023-08-24,2024-12-05,275087,263392,11695,capsules,FAC-012,PL-12,qa_review,51054.63,2023-08-25 13:56:11
BAT-000029,PRD-0022,Duloxetine 30mg,BN-202304-9596,2023-04-19,2025-09-04,211008,210499,509,mL,FAC-013,PL-23,approved,23670.11,2023-04-19 08:00:03
BAT-000030,PRD-0014,Gabapentin 300mg,BN-202411-4725,2024-11-27,2026-05-08,61423,60355,1068,ampoules,FAC-002,PL-21,recalled,102686.53,2024-11-27 19:13:22
BAT-000031,PRD-0004,Atorvastatin 20mg,BN-202509-1691,2025-09-25,2028-09-08,119237,119064,173,ampoules,FAC-008,PL-05,approved,143185.94,2025-09-26 02:08:40
BAT-000032,PRD-0033,Warfarin 5mg,BN-202405-1315,2024-05-11,2026-04-06,204174,197690,6484,bottles,FAC-016,PL-01,recalled,100611.49,2024-05-13 03:17:43
BAT-000033,PRD-0027,Cetirizine 10mg,BN-202505-4421,2025-05-04,2026-07-12,22039,21966,73,ampoules,FAC-019,PL-16,qa_review,1569.28,2025-05-06 07:38:42
BAT-000034,PRD-0006,Lisinopril 10mg,BN-202506-7507,2025-06-22,2027-07-03,267940,265251,2689,ampoules,FAC-005,PL-18,recalled,1598.82,2025-06-24 03:59:37
BAT-000035,PRD-0048,Methylprednisolone 16mg,BN-202508-9370,2025-08-25,2027-06-09,140275,138742,1533,mL,FAC-006,PL-27,approved,30637.09,2025-08-27 02:21:47
BAT-000036,PRD-0017,Pantoprazole 40mg,BN-202406-2952,2024-06-03,2025-12-20,172472,170864,1608,bottles,FAC-015,PL-01,approved,67108.74,2024-06-05 08:31:56
BAT-000037,PRD-0043,Bevacizumab 400mg,BN-202503-1682,2025-03-06,2027-04-25,108264,107341,923,mL,FAC-004,PL-24,qa_review,139995.99,2025-03-06 15:28:38
BAT-000038,PRD-0013,Prednisone 10mg,BN-202506-4511,2025-06-04,2027-04-05,437695,40448,397247,bottles,FAC-012,PL-15,rejected,8627.95,2025-06-06 11:51:24
BAT-000039,PRD-0015,Hydrochlorothiazide 25mg,BN-202505-6077,2025-05-30,2027-02-12,114668,114571,97,tablets,FAC-007,PL-27,approved,27547.41,2025-05-31 11:34:21
BAT-000040,PRD-0014,Gabapentin 300mg,BN-202502-7402,2025-02-15,2027-03-19,378471,374721,3750,vials,FAC-016,PL-16,approved,84344.07,2025-02-15 21:09:58
BAT-000041,PRD-0043,Bevacizumab 400mg,BN-202401-1004,2024-01-22,2025-04-10,324155,309665,14490,tablets,FAC-020,PL-02,in_production,128646.31,2024-01-22 19:26:21
BAT-000042,PRD-0001,Amoxicillin 500mg,BN-202404-3613,2024-04-16,2026-07-15,200974,31951,169023,capsules,FAC-002,PL-12,rejected,32688.64,2024-04-16 22:18:26
BAT-000043,PRD-0028,Ranitidine 150mg,BN-202408-1366,2024-08-02,2025-10-18,147789,145112,2677,bottles,FAC-002,PL-29,approved,18451.44,2024-08-02 13:46:23
BAT-000044,PRD-0017,Pantoprazole 40mg,BN-202412-1497,2024-12-10,2026-07-07,64084,8901,55183,kg,FAC-006,PL-01,rejected,17331.72,2024-12-12 18:29:50
BAT-000045,PRD-0016,Clopidogrel 75mg,BN-202412-5424,2024-12-08,2027-07-24,365337,363100,2237,tablets,FAC-019,PL-16,approved,9960.93,2024-12-10 01:44:52
BAT-000046,PRD-0010,Levothyroxine 100mcg,BN-202312-1489,2023-12-01,2025-02-04,209424,89543,119881,tablets,FAC-016,PL-14,rejected,124652.46,2023-12-02 20:30:42
BAT-000047,PRD-0012,Azithromycin 500mg,BN-202301-2032,2023-01-21,2025-09-02,471500,449985,21515,bottles,FAC-010,PL-24,in_production,72136.09,2023-01-22 08:42:23
BAT-000048,PRD-0002,Ibuprofen 200mg,BN-202511-8339,2025-11-08,2027-08-13,458174,450480,7694,tablets,FAC-002,PL-28,qa_review,84700.19,2025-11-09 21:44:11
BAT-000049,PRD-0036,Allopurinol 300mg,BN-202512-5694,2025-12-27,2028-05-10,416217,414668,1549,syringes,FAC-003,PL-20,qa_review,55410.92,2025-12-29 06:45:40
BAT-000050,PRD-0035,Spironolactone 25mg,BN-202309-9859,2023-09-12,2025-09-28,346296,340347,5949,vials,FAC-011,PL-24,approved,96077.47,2023-09-13 17:26:16
BAT-000051,PRD-0012,Azithromycin 500mg,BN-202506-5791,2025-06-20,2027-08-05,196092,194669,1423,vials,FAC-016,PL-22,approved,81569.15,2025-06-21 07:51:48
BAT-000052,PRD-0028,Ranitidine 150mg,BN-202305-6876,2023-05-15,2026-01-20,133749,131023,2726,kg,FAC-015,PL-25,qa_review,81112.16,2023-05-17 02:55:26
BAT-000053,PRD-0011,Ciprofloxacin 250mg,BN-202303-3376,2023-03-08,2025-02-21,266474,256233,10241,syringes,FAC-018,PL-21,recalled,124885.96,2023-03-08 21:02:57
BAT-000054,PRD-0037,Insulin Glargine 100U,BN-202308-2339,2023-08-05,2025-03-02,433372,182234,251138,mL,FAC-004,PL-17,rejected,81827.51,2023-08-07 03:43:51
BAT-000055,PRD-0007,Amlodipine 5mg,BN-202506-4715,2025-06-12,2026-06-16,134545,133871,674,syringes,FAC-016,PL-04,approved,49160.35,2025-06-13 22:52:30
BAT-000056,PRD-0036,Allopurinol 300mg,BN-202409-4589,2024-09-05,2027-02-22,345400,332529,12871,syringes,FAC-014,PL-23,recalled,112859.04,2024-09-05 20:11:43
BAT-000057,PRD-0015,Hydrochlorothiazide 25mg,BN-202509-4085,2025-09-21,2028-07-11,238845,227476,11369,tablets,FAC-017,PL-26,qa_review,16616.23,2025-09-22 08:25:40
BAT-000058,PRD-0005,Omeprazole 40mg,BN-202512-5962,2025-12-15,2027-10-24,127790,124464,3326,ampoules,FAC-018,PL-21,recalled,14939.79,2025-12-16 02:08:37
BAT-000059,PRD-0002,Ibuprofen 200mg,BN-202301-4042,2023-01-26,2024-02-26,156076,154380,1696,capsules,FAC-003,PL-09,in_production,68163.6,2023-01-26 12:43:31
BAT-000060,PRD-0028,Ranitidine 150mg,BN-202407-5918,2024-07-09,2027-05-17,212288,202498,9790,syringes,FAC-013,PL-12,in_production,31663.04,2024-07-10 13:05:55
BAT-000061,PRD-0040,Rituximab 500mg,BN-202507-1686,2025-07-05,2027-11-06,334038,329178,4860,kg,FAC-002,PL-16,approved,48284.96,2025-07-05 03:15:58
BAT-000062,PRD-0017,Pantoprazole 40mg,BN-202512-9831,2025-12-24,2028-04-21,452503,439929,12574,capsules,FAC-014,PL-23,recalled,88275.15,2025-12-25 08:26:08
BAT-000063,PRD-0044,Nivolumab 240mg,BN-202501-2422,2025-01-31,2026-02-27,200212,192226,7986,kg,FAC-009,PL-18,in_production,14261.3,2025-02-01 08:01:27
BAT-000064,PRD-0047,Dexamethasone 4mg,BN-202509-4954,2025-09-07,2026-12-12,239386,236623,2763,kg,FAC-002,PL-11,approved,46817.13,2025-09-09 14:31:32
BAT-000065,PRD-0029,Doxycycline 100mg,BN-202312-3103,2023-12-03,2026-08-22,216276,216108,168,tablets,FAC-017,PL-15,in_production,10830.39,2023-12-03 21:46:07
BAT-000066,PRD-0030,Clarithromycin 500mg,BN-202403-1798,2024-03-02,2027-02-13,297248,292860,4388,bottles,FAC-019,PL-04,approved,104883.38,2024-03-04 03:05:32
BAT-000067,PRD-0012,Azithromycin 500mg,BN-202412-5756,2024-12-02,2026-09-28,448508,447204,1304,syringes,FAC-014,PL-04,qa_review,103177.7,2024-12-02 22:33:48
BAT-000068,PRD-0013,Prednisone 10mg,BN-202501-3893,2025-01-18,2027-05-30,131570,128398,3172,mL,FAC-002,PL-10,in_production,27810.33,2025-01-19 21:42:46
BAT-000069,PRD-0044,Nivolumab 240mg,BN-202506-2902,2025-06-25,2027-11-12,120921,50546,70375,capsules,FAC-006,PL-05,rejected,20233.85,2025-06-27 04:03:34
BAT-000070,PRD-0037,Insulin Glargine 100U,BN-202302-1336,2023-02-06,2025-04-29,261123,257601,3522,syringes,FAC-018,PL-04,approved,63084.38,2023-02-06 21:47:14
BAT-000071,PRD-0018,Montelukast 10mg,BN-202411-2067,2024-11-08,2027-06-01,369075,368527,548,capsules,FAC-009,PL-29,approved,142324.97,2024-11-09 17:06:43
BAT-000072,PRD-0031,Metoprolol 50mg,BN-202409-2982,2024-09-15,2027-02-16,482964,478458,4506,tablets,FAC-006,PL-03,qa_review,85777.88,2024-09-17 05:33:14
BAT-000073,PRD-0013,Prednisone 10mg,BN-202411-5309,2024-11-23,2027-09-29,287218,282653,4565,kg,FAC-003,PL-26,approved,98611.27,2024-11-25 13:53:32
BAT-000074,PRD-0027,Cetirizine 10mg,BN-202306-3414,2023-06-29,2026-01-22,21843,21429,414,bottles,FAC-005,PL-24,qa_review,105370.35,2023-06-30 00:11:40
BAT-000075,PRD-0024,Diclofenac 50mg,BN-202304-9594,2023-04-04,2025-09-07,414184,410490,3694,bottles,FAC-019,PL-17,in_production,1824.19,2023-04-04 13:44:16
BAT-000076,PRD-0021,Fluoxetine 20mg,BN-202401-8778,2024-01-14,2026-05-19,421072,414890,6182,kg,FAC-016,PL-07,qa_review,15307.53,2024-01-15 13:54:18
BAT-000077,PRD-0036,Allopurinol 300mg,BN-202509-2161,2025-09-10,2028-06-13,284851,271681,13170,vials,FAC-005,PL-28,recalled,76725.25,2025-09-11 03:44:07
BAT-000078,PRD-0031,Metoprolol 50mg,BN-202503-7774,2025-03-08,2026-05-21,297829,293782,4047,syringes,FAC-008,PL-27,qa_review,39739.03,2025-03-08 16:21:52
BAT-000079,PRD-0049,Rosuvastatin 10mg,BN-202411-1453,2024-11-01,2025-12-14,457481,451016,6465,ampoules,FAC-012,PL-13,approved,67749.34,2024-11-02 12:19:09
BAT-000080,PRD-0048,Methylprednisolone 16mg,BN-202307-7660,2023-07-17,2025-11-18,323382,315034,8348,vials,FAC-008,PL-20,recalled,78428.14,2023-07-19 03:04:13
BAT-000081,PRD-0050,Valsartan 80mg,BN-202304-2086,2023-04-27,2025-07-13,315479,308642,6837,capsules,FAC-005,PL-25,in_production,96389.32,2023-04-28 14:16:06
BAT-000082,PRD-0018,Montelukast 10mg,BN-202409-6594,2024-09-02,2026-06-16,244535,8582,235953,bottles,FAC-018,PL-20,rejected,49399.62,2024-09-03 18:04:09
BAT-000083,PRD-0031,Metoprolol 50mg,BN-202503-3248,2025-03-05,2027-07-17,203424,193765,9659,kg,FAC-011,PL-03,recalled,103867.9,2025-03-06 09:51:49
BAT-000084,PRD-0035,Spironolactone 25mg,BN-202503-5394,2025-03-14,2027-12-05,332017,323773,8244,bottles,FAC-010,PL-20,in_production,77270.93,2025-03-15 00:04:00
BAT-000085,PRD-0021,Fluoxetine 20mg,BN-202401-6019,2024-01-07,2026-08-08,101278,99287,1991,ampoules,FAC-011,PL-17,approved,101576.97,2024-01-08 16:01:49
BAT-000086,PRD-0017,Pantoprazole 40mg,BN-202507-3281,2025-07-17,2027-09-24,352107,218146,133961,bottles,FAC-007,PL-22,rejected,103053.96,2025-07-19 12:07:37
BAT-000087,PRD-0035,Spironolactone 25mg,BN-202505-9521,2025-05-08,2027-04-01,108198,104408,3790,vials,FAC-004,PL-24,recalled,108550.01,2025-05-09 16:43:30
BAT-000088,PRD-0041,Pembrolizumab 100mg,BN-202401-6527,2024-01-19,2025-08-16,314593,304215,10378,vials,FAC-016,PL-12,recalled,37222.26,2024-01-21 00:50:20
BAT-000089,PRD-0046,Etanercept 50mg,BN-202402-3397,2024-02-25,2026-09-28,241689,238893,2796,bottles,FAC-020,PL-03,approved,38254.09,2024-02-26 14:56:13
BAT-000090,PRD-0036,Allopurinol 300mg,BN-202409-5174,2024-09-02,2025-09-05,35889,34227,1662,kg,FAC-015,PL-30,qa_review,148632.64,2024-09-04 05:07:14
BAT-000091,PRD-0018,Montelukast 10mg,BN-202503-1835,2025-03-04,2027-10-06,221459,217106,4353,mL,FAC-016,PL-20,qa_review,16657.84,2025-03-06 03:52:31
BAT-000092,PRD-0025,Paracetamol 500mg,BN-202405-6920,2024-05-01,2025-08-31,74257,73754,503,tablets,FAC-002,PL-28,qa_review,11006.86,2024-05-01 17:46:45
BAT-000093,PRD-0036,Allopurinol 300mg,BN-202504-7934,2025-04-11,2027-01-10,67805,67413,392,ampoules,FAC-002,PL-29,recalled,99214.39,2025-04-11 14:32:46
BAT-000094,PRD-0001,Amoxicillin 500mg,BN-202306-5656,2023-06-23,2025-06-02,328344,150192,178152,mL,FAC-008,PL-08,rejected,33455.42,2023-06-24 17:29:15
BAT-000095,PRD-0037,Insulin Glargine 100U,BN-202402-3485,2024-02-19,2026-09-06,186362,182490,3872,tablets,FAC-018,PL-19,recalled,47849.31,2024-02-19 23:37:49
BAT-000096,PRD-0011,Ciprofloxacin 250mg,BN-202408-3627,2024-08-18,2026-03-14,285012,284870,142,capsules,FAC-019,PL-24,approved,92312.77,2024-08-19 03:24:56
BAT-000097,PRD-0032,Propranolol 40mg,BN-202307-4620,2023-07-13,2024-10-17,130076,126747,3329,ampoules,FAC-015,PL-20,recalled,25263.56,2023-07-14 00:03:20
BAT-000098,PRD-0015,Hydrochlorothiazide 25mg,BN-202403-8130,2024-03-10,2025-06-27,2661,2583,78,mL,FAC-015,PL-07,qa_review,35211.02,2024-03-10 09:25:20
BAT-000099,PRD-0027,Cetirizine 10mg,BN-202411-7228,2024-11-20,2027-02-16,79845,21468,58377,tablets,FAC-018,PL-25,rejected,41122.63,2024-11-22 18:28:51
BAT-000100,PRD-0032,Propranolol 40mg,BN-202411-9176,2024-11-09,2027-04-29,180457,180373,84,mL,FAC-015,PL-20,approved,31217.7,2024-11-09 17:30:09
BAT-000101,PRD-0046,Etanercept 50mg,BN-202305-7187,2023-05-01,2026-01-05,439797,37584,402213,vials,FAC-013,PL-07,rejected,33080.29,2023-05-02 03:04:34
BAT-000102,PRD-0026,Aspirin 100mg,BN-202403-4782,2024-03-01,2025-11-10,375831,368471,7360,mL,FAC-020,PL-29,approved,70722.1,2024-03-01 22:44:45
BAT-000103,PRD-0044,Nivolumab 240mg,BN-202505-8409,2025-05-25,2027-01-29,339415,271556,67859,tablets,FAC-013,PL-19,rejected,52105.03,2025-05-26 02:41:09
BAT-000104,PRD-0002,Ibuprofen 200mg,BN-202502-7949,2025-02-01,2027-04-23,380678,373230,7448,capsules,FAC-014,PL-09,approved,52560.39,2025-02-02 10:13:16
BAT-000105,PRD-0024,Diclofenac 50mg,BN-202402-9473,2024-02-08,2026-06-12,83888,82093,1795,ampoules,FAC-002,PL-13,qa_review,55003.49,2024-02-09 07:14:56
BAT-000106,PRD-0006,Lisinopril 10mg,BN-202309-1820,2023-09-04,2024-12-06,323673,1467,322206,bottles,FAC-003,PL-17,rejected,139835.51,2023-09-05 19:45:57
BAT-000107,PRD-0010,Levothyroxine 100mcg,BN-202403-4047,2024-03-31,2025-08-23,451101,446538,4563,ampoules,FAC-014,PL-10,approved,25411.01,2024-03-31 14:31:44
BAT-000108,PRD-0015,Hydrochlorothiazide 25mg,BN-202305-5722,2023-05-24,2026-02-17,28339,28159,180,kg,FAC-014,PL-29,approved,25604.97,2023-05-24 10:06:41
BAT-000109,PRD-0013,Prednisone 10mg,BN-202507-5408,2025-07-25,2028-07-23,41395,40980,415,vials,FAC-018,PL-04,in_production,116969.37,2025-07-26 15:50:11
BAT-000110,PRD-0049,Rosuvastatin 10mg,BN-202407-5024,2024-07-27,2026-01-26,81068,80686,382,tablets,FAC-011,PL-28,approved,26183.28,2024-07-27 20:43:45
BAT-000111,PRD-0033,Warfarin 5mg,BN-202302-3211,2023-02-02,2025-06-28,265508,259056,6452,vials,FAC-002,PL-16,in_production,23808.46,2023-02-02 13:25:17
BAT-000112,PRD-0016,Clopidogrel 75mg,BN-202508-8576,2025-08-04,2027-08-15,301870,297295,4575,ampoules,FAC-015,PL-06,recalled,106676.27,2025-08-05 22:00:49
BAT-000113,PRD-0016,Clopidogrel 75mg,BN-202309-2098,2023-09-09,2026-06-25,318724,318032,692,mL,FAC-005,PL-01,recalled,43436.77,2023-09-11 05:02:15
BAT-000114,PRD-0032,Propranolol 40mg,BN-202511-9602,2025-11-18,2027-12-27,289523,286215,3308,kg,FAC-017,PL-12,approved,118064.52,2025-11-20 00:58:41
BAT-000115,PRD-0046,Etanercept 50mg,BN-202409-9243,2024-09-21,2026-06-05,275449,274082,1367,kg,FAC-005,PL-26,approved,5944.29,2024-09-21 15:53:57
BAT-000116,PRD-0039,Adalimumab 40mg,BN-202407-7268,2024-07-24,2026-05-25,61574,60730,844,mL,FAC-010,PL-12,approved,4069.44,2024-07-26 05:26:24
BAT-000117,PRD-0013,Prednisone 10mg,BN-202301-3411,2023-01-25,2024-09-01,229347,218887,10460,kg,FAC-019,PL-26,recalled,113934.05,2023-01-26 07:04:19
BAT-000118,PRD-0042,Trastuzumab 150mg,BN-202404-4720,2024-04-14,2026-05-24,129184,129050,134,kg,FAC-009,PL-16,qa_review,60186.26,2024-04-16 00:20:14
BAT-000119,PRD-0030,Clarithromycin 500mg,BN-202407-1841,2024-07-31,2026-02-25,243902,237090,6812,ampoules,FAC-005,PL-29,qa_review,96183.42,2024-07-31 12:01:34
BAT-000120,PRD-0019,Escitalopram 10mg,BN-202408-8100,2024-08-04,2025-09-27,184791,183208,1583,capsules,FAC-020,PL-10,approved,53538.77,2024-08-05 10:03:34
BAT-000121,PRD-0036,Allopurinol 300mg,BN-202501-2110,2025-01-11,2026-02-21,490673,474963,15710,syringes,FAC-011,PL-07,recalled,46896.1,2025-01-12 12:52:45
BAT-000122,PRD-0011,Ciprofloxacin 250mg,BN-202301-1981,2023-01-18,2024-04-30,77514,34425,43089,tablets,FAC-017,PL-07,rejected,94785.84,2023-01-19 04:12:15
BAT-000123,PRD-0002,Ibuprofen 200mg,BN-202411-6684,2024-11-27,2027-01-14,176133,168592,7541,syringes,FAC-010,PL-12,recalled,8111.99,2024-11-28 22:01:20
BAT-000124,PRD-0038,Insulin Lispro 100U,BN-202307-9420,2023-07-11,2025-10-01,398668,395118,3550,tablets,FAC-018,PL-24,approved,112466.13,2023-07-12 21:52:29
BAT-000125,PRD-0005,Omeprazole 40mg,BN-202308-5376,2023-08-27,2025-09-16,174094,41378,132716,vials,FAC-005,PL-25,rejected,137291.72,2023-08-27 10:33:24
BAT-000126,PRD-0040,Rituximab 500mg,BN-202408-1721,2024-08-19,2026-05-28,207778,207092,686,bottles,FAC-001,PL-05,qa_review,29576.77,2024-08-20 21:26:21
BAT-000127,PRD-0013,Prednisone 10mg,BN-202410-4450,2024-10-10,2026-03-14,224824,222734,2090,tablets,FAC-003,PL-06,approved,128896.68,2024-10-11 09:50:53
BAT-000128,PRD-0047,Dexamethasone 4mg,BN-202501-9085,2025-01-19,2026-03-27,115868,115190,678,capsules,FAC-003,PL-22,approved,69211.14,2025-01-20 17:02:22
BAT-000129,PRD-0040,Rituximab 500mg,BN-202408-9977,2024-08-01,2026-11-24,136310,134023,2287,syringes,FAC-011,PL-17,approved,23761.95,2024-08-02 21:30:15
BAT-000130,PRD-0046,Etanercept 50mg,BN-202507-5018,2025-07-05,2027-12-19,358879,352275,6604,ampoules,FAC-001,PL-14,approved,72767.7,2025-07-06 02:34:35
BAT-000131,PRD-0033,Warfarin 5mg,BN-202404-5920,2024-04-11,2026-09-03,380729,380309,420,bottles,FAC-004,PL-27,approved,22621.81,2024-04-12 13:01:21
BAT-000132,PRD-0015,Hydrochlorothiazide 25mg,BN-202401-9883,2024-01-22,2026-05-11,475572,472342,3230,syringes,FAC-014,PL-24,qa_review,60277.68,2024-01-23 22:37:31
BAT-000133,PRD-0022,Duloxetine 30mg,BN-202404-8883,2024-04-09,2025-07-01,128136,123032,5104,capsules,FAC-011,PL-30,qa_review,133451.32,2024-04-10 18:40:46
BAT-000134,PRD-0026,Aspirin 100mg,BN-202411-6468,2024-11-02,2026-04-08,218172,217922,250,syringes,FAC-004,PL-10,approved,35734.51,2024-11-03 16:22:48
BAT-000135,PRD-0026,Aspirin 100mg,BN-202507-5693,2025-07-03,2027-02-07,213503,211577,1926,ampoules,FAC-020,PL-26,approved,25151.72,2025-07-03 13:00:28
BAT-000136,PRD-0039,Adalimumab 40mg,BN-202405-2649,2024-05-23,2027-01-20,198576,197219,1357,capsules,FAC-003,PL-26,recalled,110745.82,2024-05-23 14:46:16
BAT-000137,PRD-0035,Spironolactone 25mg,BN-202410-3488,2024-10-27,2027-03-15,471066,448215,22851,tablets,FAC-001,PL-16,in_production,27047.17,2024-10-28 02:13:36
BAT-000138,PRD-0019,Escitalopram 10mg,BN-202407-2433,2024-07-23,2027-06-18,360484,348778,11706,tablets,FAC-006,PL-29,recalled,46810.22,2024-07-24 01:03:51
BAT-000139,PRD-0003,Metformin 850mg,BN-202506-4149,2025-06-24,2026-09-16,21716,21716,0,vials,FAC-013,PL-27,approved,149025.43,2025-06-24 17:43:35
BAT-000140,PRD-0018,Montelukast 10mg,BN-202507-2174,2025-07-10,2027-05-04,323665,315046,8619,bottles,FAC-005,PL-03,recalled,69619.32,2025-07-11 11:26:34
BAT-000141,PRD-0011,Ciprofloxacin 250mg,BN-202509-4666,2025-09-26,2028-09-11,270951,262818,8133,bottles,FAC-002,PL-13,in_production,127897.39,2025-09-28 09:04:39
BAT-000142,PRD-0011,Ciprofloxacin 250mg,BN-202512-9337,2025-12-15,2028-04-12,425815,419938,5877,bottles,FAC-010,PL-21,approved,105995.79,2025-12-16 14:04:36
BAT-000143,PRD-0027,Cetirizine 10mg,BN-202401-4943,2024-01-01,2025-11-12,350309,348585,1724,kg,FAC-005,PL-23,approved,23705.25,2024-01-01 12:05:54
BAT-000144,PRD-0004,Atorvastatin 20mg,BN-202507-3066,2025-07-01,2026-10-29,78426,76588,1838,vials,FAC-003,PL-10,in_production,115669.82,2025-07-03 19:24:49
BAT-000145,PRD-0021,Fluoxetine 20mg,BN-202506-7715,2025-06-18,2027-02-17,377774,374208,3566,capsules,FAC-018,PL-24,approved,88356.78,2025-06-20 18:45:44
BAT-000146,PRD-0014,Gabapentin 300mg,BN-202501-7402,2025-01-05,2027-11-07,18739,18659,80,ampoules,FAC-012,PL-03,approved,7812.37,2025-01-05 20:13:44
BAT-000147,PRD-0025,Paracetamol 500mg,BN-202310-6301,2023-10-17,2026-03-09,244009,115410,128599,kg,FAC-005,PL-27,rejected,49372.77,2023-10-19 17:33:13
