inventory_id,outlet_id,product_id,product_name,batch_number,quantity_on_hand,quantity_reserved,reorder_level,reorder_quantity,unit_price,expiry_date,last_restock_date,status,storage_condition,created_at
INV-000072,OUT-0235,PRD-0012,Azithromycin 500mg,BN-202316-2726,519,33,70,422,57.18,2024-06-25,2025-10-08,expired,Frozen -20C,2025-02-25 00:26:43
INV-000073,OUT-0245,PRD-0002,Ibuprofen 200mg,BN-202342-9408,1528,12,156,67,304.51,2027-08-09,2024-08-29,in_stock,Refrigerated 2-8C,2023-01-04 05:01:02
INV-000074,OUT-0026,PRD-0016,Clopidogrel 75mg,BN-202412-4930,1793,32,50,446,139.68,2026-01-10,2024-10-24,expired,Refrigerated 2-8C,2025-05-31 20:51:10
INV-000075,OUT-0300,PRD-0038,Insulin Lispro 100U,BN-202376-9868,87,14,58,99,330.14,2027-02-25,2023-09-03,in_stock,Frozen -20C,2024-10-17 18:16:42
INV-000076,OUT-0334,PRD-0017,Pantoprazole 40mg,BN-202387-2783,15,10,129,323,185.21,2024-07-19,2023-11-29,expired,Room Temperature,2025-11-17 05:41:25
INV-000077,OUT-0130,PRD-0021,Fluoxetine 20mg,BN-202374-7688,587,70,32,435,454.37,2026-05-31,2023-05-11,in_stock,Refrigerated 2-8C,2023-02-25 20:12:49
INV-000078,OUT-0269,PRD-0007,Amlodipine 5mg,BN-202358-1871,17,16,21,264,271.66,2027-06-27,2025-11-03,low_stock,Room Temperature,2024-01-02 18:23:43
INV-000079,OUT-0112,PRD-0027,Cetirizine 10mg,BN-202494-7750,417,100,173,96,216.05,2025-12-15,2023-08-08,expired,Refrigerated 2-8C,2024-06-09 06:08:16
INV-000080,OUT-0428,PRD-0037,Insulin Glargine 100U,BN-202401-3553,503,73,120,156,286.03,2027-05-25,2025-08-09,in_stock,Frozen -20C,2024-02-18 22:32:45
INV-000081,OUT-0413,PRD-0001,Amoxicillin 500mg,BN-202482-1739,1303,65,146,488,165.64,2024-02-01,2025-10-10,expired,Refrigerated 2-8C,2024-07-31 15:41:57
INV-000082,OUT-0271,PRD-0019,Escitalopram 10mg,BN-202376-8531,645,76,118,357,435.72,2027-07-25,2025-01-17,in_stock,Refrigerated 2-8C,2024-12-22 00:35:05
INV-000083,OUT-0399,PRD-0046,Etanercept 50mg,BN-202475-8440,1057,21,190,179,39.36,2024-02-11,2025-06-23,expired,Frozen -20C,2024-07-25 10:28:15
INV-000084,OUT-0174,PRD-0025,Paracetamol 500mg,BN-202412-8760,295,31,49,206,70.94,2027-11-05,2024-02-26,in_stock,Refrigerated 2-8C,2024-08-21 13:40:14
INV-000085,OUT-0270,PRD-0031,Metoprolol 50mg,BN-202470-8185,1016,13,82,496,472.32,2027-01-01,2023-04-24,in_stock,Room Temperature,2024-05-01 11:00:47
INV-000086,OUT-0281,PRD-0031,Metoprolol 50mg,BN-202343-5393,903,28,71,73,158.74,2024-01-30,2025-11-23,in_stock,Room Temperature,2025-03-13 16:27:51
INV-000087,OUT-0145,PRD-0026,Aspirin 100mg,BN-202352-7479,394,45,139,341,241.15,2024-07-20,2023-06-23,in_stock,Room Temperature,2025-01-11 06:26:38
INV-000088,OUT-0067,PRD-0024,Diclofenac 50mg,BN-202400-6090,792,19,44,63,297.96,2025-09-07,2023-08-11,expired,Refrigerated 2-8C,2025-10-01 16:16:14
INV-000089,OUT-0244,PRD-0006,Lisinopril 10mg,BN-202472-8443,468,78,119,400,82.6,2024-03-27,2023-03-18,in_stock,Refrigerated 2-8C,2023-12-27 05:14:23
INV-000090,OUT-0168,PRD-0032,Propranolol 40mg,BN-202351-5293,1294,27,44,448,469.14,2026-08-27,2023-09-07,in_stock,Refrigerated 2-8C,2023-02-07 18:25:13
INV-000091,OUT-0143,PRD-0017,Pantoprazole 40mg,BN-202396-8455,957,19,114,466,280.28,2024-12-08,2024-08-25,in_stock,Room Temperature,2025-02-27 18:18:19
INV-000092,OUT-0320,PRD-0027,Cetirizine 10mg,BN-202344-9046,970,16,159,226,285.57,2025-09-20,2025-02-27,in_stock,Controlled Room Temp,2025-07-24 07:09:37
INV-000093,OUT-0243,PRD-0036,Allopurinol 300mg,BN-202390-6964,778,55,10,126,82.8,2024-05-05,2023-07-12,in_stock,Frozen -20C,2023-04-20 22:06:56
INV-000094,OUT-0277,PRD-0019,Escitalopram 10mg,BN-202439-1382,869,40,137,65,171.27,2025-02-12,2023-11-05,expired,Room Temperature,2024-03-04 22:35:17
INV-000095,OUT-0261,PRD-0026,Aspirin 100mg,BN-202459-5708,324,12,34,295,284.67,2026-10-14,2025-02-12,in_stock,Controlled Room Temp,2025-03-25 09:18:20
INV-000096,OUT-0204,PRD-0006,Lisinopril 10mg,BN-202357-8037,1310,77,36,387,433.21,2026-05-04,2024-12-13,in_stock,Frozen -20C,2024-09-27 16:03:54
INV-000097,OUT-0498,PRD-0042,Trastuzumab 150mg,BN-202329-8530,1161,93,166,490,102.13,2024-11-03,2025-09-13,in_stock,Frozen -20C,2023-06-07 07:21:19
INV-000098,OUT-0364,PRD-0020,Sertraline 50mg,BN-202355-2360,731,69,148,389,408.75,2027-05-07,2024-12-17,in_stock,Refrigerated 2-8C,2023-08-24 19:23:43
INV-000099,OUT-0214,PRD-0021,Fluoxetine 20mg,BN-202305-8034,146,85,78,74,470.59,2025-05-13,2024-11-01,in_stock,Controlled Room Temp,2025-09-24 18:01:13
INV-000100,OUT-0472,PRD-0040,Rituximab 500mg,BN-202421-2174,50,33,66,361,157.41,2026-12-28,2025-07-21,low_stock,Frozen -20C,2023-02-27 18:16:03
INV-000101,OUT-0173,PRD-0030,Clarithromycin 500mg,BN-202482-5518,52,35,89,455,394.16,2027-04-09,2023-07-10,low_stock,Refrigerated 2-8C,2024-05-21 18:20:22
INV-000102,OUT-0488,PRD-0043,Bevacizumab 400mg,BN-202422-6818,579,72,185,412,291.29,2026-06-21,2023-10-24,in_stock,Controlled Room Temp,2023-11-04 06:09:31
INV-000103,OUT-0215,PRD-0033,Warfarin 5mg,BN-202495-2365,630,22,154,444,319.93,2027-09-10,2025-12-18,in_stock,Controlled Room Temp,2024-05-24 06:22:55
INV-000104,OUT-0092,PRD-0022,Duloxetine 30mg,BN-202348-2205,1352,89,165,204,200.58,2027-08-14,2025-09-24,in_stock,Refrigerated 2-8C,2025-04-12 23:00:15
INV-000105,OUT-0447,PRD-0031,Metoprolol 50mg,BN-202332-2224,1665,54,149,116,163.26,2026-12-15,2025-07-23,in_stock,Refrigerated 2-8C,2025-10-08 14:38:19
INV-000106,OUT-0179,PRD-0049,Rosuvastatin 10mg,BN-202315-9269,1662,31,157,130,456.1,2024-06-09,2023-11-07,expired,Refrigerated 2-8C,2023-12-21 00:02:30
INV-000107,OUT-0326,PRD-0044,Nivolumab 240mg,BN-202399-2687,673,7,161,289,475.18,2024-05-02,2024-03-19,in_stock,Frozen -20C,2024-03-25 16:39:14
INV-000108,OUT-0403,PRD-0049,Rosuvastatin 10mg,BN-202460-3274,517,1,64,481,406.89,2026-08-11,2023-07-09,in_stock,Room Temperature,2023-03-28 16:05:38
INV-000109,OUT-0283,PRD-0018,Montelukast 10mg,BN-202404-6278,1947,63,179,324,91.15,2026-12-13,2025-12-03,in_stock,Controlled Room Temp,2024-12-10 01:33:40
INV-000110,OUT-0168,PRD-0035,Spironolactone 25mg,BN-202302-8476,1808,13,134,313,40.45,2026-01-14,2023-01-24,in_stock,Refrigerated 2-8C,2024-08-03 19:57:09
INV-000111,OUT-0388,PRD-0022,Duloxetine 30mg,BN-202359-3681,1326,25,193,198,137.5,2024-03-02,2025-06-18,in_stock,Frozen -20C,2023-09-01 11:53:51
INV-000112,OUT-0468,PRD-0032,Propranolol 40mg,BN-202395-6329,1679,55,99,281,410.18,2026-09-27,2023-04-06,in_stock,Frozen -20C,2023-04-06 14:30:45
INV-000113,OUT-0214,PRD-0038,Insulin Lispro 100U,BN-202320-8899,172,5,192,451,267.45,2026-09-26,2024-03-05,low_stock,Frozen -20C,2023-02-16 18:25:00
INV-000114,OUT-0187,PRD-0039,Adalimumab 40mg,BN-202443-1326,606,82,98,347,374.64,2025-09-06,2025-04-28,in_stock,Refrigerated 2-8C,2025-11-28 10:38:00
INV-000115,OUT-0307,PRD-0002,Ibuprofen 200mg,BN-202387-1673,1863,59,26,396,169.55,2024-11-09,2025-12-20,expired,Room Temperature,2023-04-24 17:14:51
INV-000116,OUT-0059,PRD-0036,Allopurinol 300mg,BN-202306-3148,1585,97,58,189,212.5,2024-08-27,2023-01-16,in_stock,Frozen -20C,2023-12-15 06:43:33
INV-000117,OUT-0427,PRD-0019,Escitalopram 10mg,BN-202463-1846,1255,83,144,178,463.58,2027-06-24,2025-08-01,in_stock,Room Temperature,2023-08-06 21:55:45
INV-000118,OUT-0007,PRD-0024,Diclofenac 50mg,BN-202337-5845,188,35,35,473,448.7,2026-05-31,2023-05-04,in_stock,Refrigerated 2-8C,2024-09-03 07:23:23
INV-000119,OUT-0444,PRD-0046,Etanercept 50mg,BN-202411-9577,165,83,117,294,236.15,2025-12-28,2023-10-10,expired,Room Temperature,2025-10-17 17:44:07
INV-000120,OUT-0288,PRD-0032,Propranolol 40mg,BN-202504-5067,1846,80,193,115,146.76,2027-02-23,2025-04-18,in_stock,Refrigerated 2-8C,2024-07-05 18:48:51
INV-000121,OUT-0371,PRD-0027,Cetirizine 10mg,BN-202477-2992,1656,57,39,163,117.91,2024-06-04,2025-03-07,in_stock,Frozen -20C,2025-12-09 08:57:00
INV-000122,OUT-0260,PRD-0006,Lisinopril 10mg,BN-202420-4969,1156,24,40,137,219.29,2026-03-13,2025-01-08,expired,Frozen -20C,2023-11-27 23:18:36
INV-000123,OUT-0017,PRD-0029,Doxycycline 100mg,BN-202489-4179,953,50,71,407,61.14,2024-03-30,2025-05-24,in_stock,Refrigerated 2-8C,2025-03-16 16:59:06
INV-000124,OUT-0158,PRD-0027,Cetirizine 10mg,BN-202415-8642,17,7,184,116,243.3,2027-11-05,2024-06-29,low_stock,Refrigerated 2-8C,2025-03-25 13:07:12
INV-000125,OUT-0304,PRD-0041,Pembrolizumab 100mg,BN-202389-1895,1491,79,142,288,475.95,2024-08-28,2025-07-09,expired,Room Temperature,2024-05-27 18:21:24
INV-000126,OUT-0322,PRD-0033,Warfarin 5mg,BN-202421-1972,87,81,155,286,387.64,2026-05-16,2025-07-13,low_stock,Room Temperature,2025-07-20 19:26:07
INV-000127,OUT-0429,PRD-0049,Rosuvastatin 10mg,BN-202366-6862,184,23,170,183,418.51,2025-07-08,2024-03-06,expired,Frozen -20C,2024-12-23 11:00:03
INV-000128,OUT-0077,PRD-0045,Infliximab 100mg,BN-202324-1245,997,67,96,142,397.18,2027-09-10,2025-07-05,in_stock,Room Temperature,2024-03-14 15:44:20
INV-000129,OUT-0329,PRD-0014,Gabapentin 300mg,BN-202305-3870,1613,3,183,322,308.46,2026-04-29,2024-10-03,in_stock,Frozen -20C,2023-06-26 21:47:57
INV-000130,OUT-0391,PRD-0040,Rituximab 500mg,BN-202328-7679,196,6,197,352,59.76,2026-07-07,2023-07-30,low_stock,Frozen -20C,2025-05-15 10:28:59
INV-000131,OUT-0112,PRD-0037,Insulin Glargine 100U,BN-202334-3778,896,61,96,62,364.61,2025-01-08,2024-11-04,in_stock,Controlled Room Temp,2025-02-25 17:16:21
INV-000132,OUT-0108,PRD-0011,Ciprofloxacin 250mg,BN-202483-4879,957,52,30,296,216.56,2027-01-28,2025-06-29,in_stock,Controlled Room Temp,2023-07-14 02:44:13
INV-000133,OUT-0356,PRD-0038,Insulin Lispro 100U,BN-202376-9547,616,15,168,449,307.32,2024-07-09,2025-09-11,in_stock,Controlled Room Temp,2025-07-25 09:09:08
INV-000134,OUT-0203,PRD-0032,Propranolol 40mg,BN-202396-8489,1019,97,141,157,228.89,2024-05-05,2023-03-12,in_stock,Frozen -20C,2023-01-31 11:19:36
INV-000135,OUT-0089,PRD-0001,Amoxicillin 500mg,BN-202434-2859,987,75,190,422,249.87,2026-03-21,2025-07-23,in_stock,Refrigerated 2-8C,2025-09-12 13:19:37
INV-000136,OUT-0176,PRD-0013,Prednisone 10mg,BN-202491-9721,1494,64,13,270,110.32,2025-01-23,2024-01-20,in_stock,Room Temperature,2023-10-09 08:10:14
INV-000137,OUT-0411,PRD-0020,Sertraline 50mg,BN-202307-8722,1106,94,124,143,470.2,2026-10-26,2024-09-16,in_stock,Room Temperature,2025-11-06 18:04:38
INV-000138,OUT-0479,PRD-0019,Escitalopram 10mg,BN-202430-5743,948,99,163,146,413.34,2027-09-01,2023-06-19,in_stock,Refrigerated 2-8C,2024-09-08 13:49:40
INV-000139,OUT-0345,PRD-0019,Escitalopram 10mg,BN-202510-8146,985,66,73,312,4.82,2026-05-14,2023-06-10,in_stock,Refrigerated 2-8C,2024-09-27 01:54:43
INV-000140,OUT-0418,PRD-0048,Methylprednisolone 16mg,BN-202472-1056,1382,58,32,339,20.48,2026-03-17,2023-03-12,in_stock,Frozen -20C,2024-11-18 13:29:20
INV-000141,OUT-0040,PRD-0020,Sertraline 50mg,BN-202416-6254,1061,13,99,272,428.48,2024-06-13,2024-08-18,expired,Refrigerated 2-8C,2024-03-31 21:46:51
INV-000142,OUT-0316,PRD-0050,Valsartan 80mg,BN-202486-1041,263,31,107,236,287.32,2027-12-25,2023-04-28,in_stock,Room Temperature,2023-05-23 04:49:40
INV-000143,OUT-0004,PRD-0018,Montelukast 10mg,BN-202358-9377,1957,64,32,126,285.71,2025-05-14,2023-09-06,expired,Frozen -20C,2024-05-27 09:49:25
INV-000144,OUT-0206,PRD-0029,Doxycycline 100mg,BN-202338-2273,1729,27,40,55,132.21,2027-12-04,2024-03-19,in_stock,Room Temperature,2024-03-16 12:26:58
INV-000145,OUT-0201,PRD-0033,Warfarin 5mg,BN-202453-8083,1133,12,173,449,5.87,2025-11-14,2024-05-14,in_stock,Room Temperature,2023-09-27 04:36:16
INV-000146,OUT-0244,PRD-0016,Clopidogrel 75mg,BN-202335-9167,1839,91,135,66,164.15,2025-09-30,2025-03-17,in_stock,Frozen -20C,2024-06-21 03:44:07
INV-000147,OUT-0079,PRD-0022,Duloxetine 30mg,BN-202302-6347,1692,34,187,335,110.0,2027-06-03,2024-04-24,in_stock,Frozen -20C,2025-07-30 21:26:40
