policy_id,customer_id,policy_type,policy_number,start_date,end_date,premium_amount,coverage_amount,deductible,status,agent_id,created_at
POL-200045,100295,health,INS-87141426,2023-11-25,2024-11-24,1986.63,167848.58,1500,active,AGT-0050,2023-11-17 00:00:00
POL-200046,101709,life,INS-42930646,2023-05-25,2024-05-24,4818.62,283455.69,1500,active,AGT-0190,2023-05-06 00:00:00
POL-200047,101935,home,INS-14383816,2024-02-26,2026-02-25,754.92,282715.6,1000,active,AGT-0031,2024-02-09 00:00:00
POL-200048,100638,auto,INS-74289540,2025-08-22,2026-08-22,3319.09,305833.99,250,expired,AGT-0157,2025-08-07 00:00:00
POL-200049,100315,auto,INS-58474389,2024-11-30,2026-11-30,4749.97,50561.92,5000,cancelled,AGT-0029,2024-11-09 00:00:00
POL-200050,100956,health,INS-47528972,2023-12-11,2026-12-10,3472.61,796511.06,5000,active,AGT-0134,2023-12-07 00:00:00
POL-200051,100182,life,INS-45979898,2024-05-09,2027-05-09,2497.93,704583.06,1500,active,AGT-0164,2024-05-05 00:00:00
POL-200052,101772,life,INS-22455404,2024-07-18,2026-07-18,3219.31,335541.37,2500,cancelled,AGT-0092,2024-07-15 00:00:00
POL-200053,100027,auto,INS-21001499,2025-09-21,2026-09-21,2949.63,229174.25,1500,expired,AGT-0027,2025-08-27 00:00:00
POL-200054,101693,health,INS-61177854,2025-02-08,2028-02-08,2618.89,925990.66,1500,active,AGT-0028,2025-01-20 00:00:00
POL-200055,101717,auto,INS-53905798,2023-07-14,2024-07-13,4835.31,246228.17,2000,expired,AGT-0155,2023-06-30 00:00:00
POL-200056,101670,health,INS-66269233,2023-03-23,2025-03-22,3253.09,445842.63,1500,expired,AGT-0134,2023-03-21 00:00:00
POL-200057,101926,health,INS-95300255,2025-06-03,2028-06-02,4545.0,223879.14,500,active,AGT-0085,2025-05-30 00:00:00
POL-200058,100599,health,INS-39525637,2023-02-28,2026-02-27,2310.28,892035.2,1000,cancelled,AGT-0089,2023-02-16 00:00:00
POL-200059,101994,home,INS-73125245,2024-07-20,2026-07-20,3929.36,331267.28,2500,pending,AGT-0068,2024-06-25 00:00:00
POL-200060,101626,home,INS-87013111,2024-03-04,2027-03-04,3865.5,551804.94,1000,expired,AGT-0193,2024-02-21 00:00:00
POL-200061,101600,home,INS-75173358,2025-10-20,2026-10-20,1702.13,620238.7,2500,cancelled,AGT-0059,2025-10-09 00:00:00
POL-200062,101698,life,INS-36249215,2023-07-27,2026-07-26,497.64,412004.61,2000,active,AGT-0048,2023-07-02 00:00:00
POL-200063,100784,home,INS-15694438,2024-06-26,2027-06-26,2452.93,343631.24,1500,cancelled,AGT-0194,2024-06-20 00:00:00
POL-200064,101965,home,INS-78717135,2024-10-23,2025-10-23,601.83,586028.37,2000,expired,AGT-0144,2024-10-13 00:00:00
POL-200065,101550,home,INS-93589105,2025-03-26,2028-03-25,3493.4,206633.42,250,expired,AGT-0170,2025-03-13 00:00:00
POL-200066,101746,life,INS-48256273,2023-10-26,2026-10-25,1733.81,360261.66,500,pending,AGT-0027,2023-09-28 00:00:00
POL-200067,101959,life,INS-96433161,2023-06-18,2025-06-17,4997.22,448110.69,250,active,AGT-0040,2023-05-27 00:00:00
POL-200068,100561,auto,INS-20992868,2025-10-09,2026-10-09,4174.58,983429.67,500,cancelled,AGT-0113,2025-09-18 00:00:00
POL-200069,101663,home,INS-78427751,2023-10-25,2024-10-24,1519.13,964944.58,5000,expired,AGT-0113,2023-10-11 00:00:00
POL-200070,101140,home,INS-53672097,2025-04-24,2026-04-24,4247.13,585086.66,2500,expired,AGT-0100,2025-03-31 00:00:00
POL-200071,100536,life,INS-50669912,2024-06-23,2026-06-23,1882.63,901052.33,500,active,AGT-0092,2024-06-20 00:00:00
POL-200072,101963,home,INS-85685944,2024-10-20,2027-10-20,1272.13,542892.67,500,active,AGT-0130,2024-09-27 00:00:00
POL-200073,100975,life,INS-16493311,2023-08-03,2026-08-02,1177.73,354859.36,2500,expired,AGT-0142,2023-07-07 00:00:00
POL-200074,100459,health,INS-15685402,2024-07-05,2027-07-05,4191.24,465636.48,1500,active,AGT-0112,2024-07-02 00:00:00
POL-200075,101953,home,INS-62180603,2023-02-15,2026-02-14,2269.92,653774.79,1000,active,AGT-0181,2023-02-10 00:00:00
POL-200076,100131,life,INS-63235185,2023-05-14,2026-05-13,1416.65,259491.95,2500,active,AGT-0154,2023-04-28 00:00:00
POL-200077,100883,home,INS-22916561,2025-03-22,2026-03-22,3325.91,316727.02,2500,expired,AGT-0085,2025-03-14 00:00:00
POL-200078,101168,health,INS-30739871,2023-10-23,2026-10-22,4901.88,591003.74,5000,active,AGT-0157,2023-10-21 00:00:00
POL-200079,101459,life,INS-48454430,2023-09-03,2024-09-02,3088.56,534474.26,2500,active,AGT-0050,2023-08-26 00:00:00
POL-200080,101232,home,INS-07457774,2024-01-07,2025-01-06,3264.56,500025.3,250,active,AGT-0025,2023-12-25 00:00:00
POL-200081,101176,health,INS-14651831,2025-04-14,2027-04-14,3497.25,147124.41,1000,active,AGT-0080,2025-04-02 00:00:00
POL-200082,100364,health,INS-63325336,2024-05-31,2026-05-31,499.14,267900.51,500,active,AGT-0166,2024-05-10 00:00:00
POL-200083,100168,life,INS-30575786,2025-07-14,2026-07-14,2643.14,30196.75,2000,active,AGT-0143,2025-07-12 00:00:00
POL-200084,101399,life,INS-60702507,2023-07-15,2024-07-14,58.56,985277.43,250,active,AGT-0099,2023-07-05 00:00:00
POL-200085,100057,life,INS-66606950,2023-05-23,2024-05-22,982.99,624663.67,500,expired,AGT-0089,2023-05-19 00:00:00
POL-200086,101787,home,INS-85261068,2025-02-05,2028-02-05,925.8,446290.61,5000,cancelled,AGT-0046,2025-01-19 00:00:00
POL-200087,100305,health,INS-96553264,2023-03-04,2026-03-03,241.93,542213.95,5000,pending,AGT-0080,2023-02-02 00:00:00
POL-200088,100597,auto,INS-74141240,2024-12-15,2027-12-15,943.06,523303.96,250,active,AGT-0155,2024-12-10 00:00:00
POL-200089,101256,life,INS-43968483,2025-07-20,2028-07-19,2762.5,394957.39,1500,pending,AGT-0172,2025-07-02 00:00:00
POL-200090,100135,life,INS-59600018,2024-05-19,2026-05-19,749.84,960783.19,1500,active,AGT-0104,2024-05-17 00:00:00
POL-200091,100734,auto,INS-20871638,2025-09-10,2028-09-09,3552.81,840671.58,250,cancelled,AGT-0024,2025-08-19 00:00:00
POL-200092,101342,life,INS-81939271,2025-12-15,2028-12-14,2896.68,536606.43,1500,cancelled,AGT-0165,2025-12-08 00:00:00
POL-200093,100579,life,INS-91899381,2023-10-05,2025-10-04,3829.44,300029.56,2500,active,AGT-0112,2023-09-22 00:00:00
POL-200094,100169,health,INS-98792165,2023-02-18,2025-02-17,566.38,565640.46,2000,active,AGT-0128,2023-01-23 00:00:00
POL-200095,101579,life,INS-01817576,2023-04-23,2026-04-22,4164.72,196198.11,250,active,AGT-0151,2023-03-30 00:00:00
POL-200096,101844,home,INS-01808675,2024-10-04,2027-10-04,287.38,37683.47,1000,active,AGT-0091,2024-09-16 00:00:00
POL-200097,100108,health,INS-22624915,2025-11-07,2028-11-06,4253.64,513658.13,2500,expired,AGT-0055,2025-11-03 00:00:00
POL-200098,100937,home,INS-28932816,2024-03-29,2027-03-29,1635.54,716894.23,1500,active,AGT-0164,2024-03-09 00:00:00
POL-200099,100032,auto,INS-65177313,2025-02-20,2026-02-20,4506.59,125167.72,1000,active,AGT-0062,2025-01-29 00:00:00
POL-200100,101667,life,INS-19749313,2023-12-29,2025-12-28,4141.53,378065.94,5000,active,AGT-0040,2023-12-24 00:00:00
POL-200101,101227,home,INS-52762559,2024-06-12,2026-06-12,3417.96,713070.7,2500,active,AGT-0168,2024-05-19 00:00:00
POL-200102,101872,life,INS-37651182,2025-04-18,2028-04-17,100.63,825319.37,1500,active,AGT-0049,2025-03-22 00:00:00
POL-200103,101596,health,INS-56651639,2024-06-03,2027-06-03,101.63,695597.91,250,expired,AGT-0115,2024-05-29 00:00:00
POL-200104,101358,home,INS-17271548,2023-05-25,2026-05-24,616.18,167334.6,5000,active,AGT-0047,2023-05-07 00:00:00
POL-200105,100671,home,INS-36281341,2024-06-09,2027-06-09,3589.37,698069.04,1000,expired,AGT-0073,2024-05-12 00:00:00
POL-200106,101168,life,INS-35033460,2023-08-11,2024-08-10,2004.79,886743.64,500,pending,AGT-0143,2023-07-14 00:00:00
POL-200107,101020,home,INS-74968757,2023-09-18,2026-09-17,4978.01,474267.42,250,active,AGT-0010,2023-08-22 00:00:00
POL-200108,100795,home,INS-44654482,2023-06-21,2026-06-20,4041.73,249334.33,2000,active,AGT-0190,2023-06-16 00:00:00
POL-200109,100906,auto,INS-18739821,2025-10-28,2026-10-28,3854.32,727661.06,250,expired,AGT-0040,2025-10-17 00:00:00
POL-200110,101761,life,INS-25588774,2023-12-26,2025-12-25,2337.08,902547.19,250,active,AGT-0040,2023-12-16 00:00:00
POL-200111,101036,auto,INS-05031513,2024-04-06,2025-04-06,3154.71,342529.74,2500,active,AGT-0113,2024-04-03 00:00:00
POL-200112,101728,home,INS-46508656,2025-12-18,2027-12-18,2806.42,151929.82,1000,active,AGT-0176,2025-12-15 00:00:00
POL-200113,100840,auto,INS-99638744,2023-12-14,2026-12-13,4667.36,376668.43,500,pending,AGT-0176,2023-12-06 00:00:00
POL-200114,100013,health,INS-77134125,2023-01-08,2026-01-07,339.17,393652.0,2000,active,AGT-0058,2022-12-14 00:00:00
POL-200115,101287,auto,INS-38341065,2023-06-01,2024-05-31,3261.87,911703.34,2000,expired,AGT-0073,2023-05-10 00:00:00
POL-200116,101262,health,INS-72997665,2025-07-09,2028-07-08,1226.46,495656.72,1000,active,AGT-0163,2025-06-24 00:00:00
POL-200117,100982,home,INS-62067039,2025-07-19,2028-07-18,4403.25,231601.44,1000,expired,AGT-0045,2025-07-06 00:00:00
POL-200118,100527,home,INS-33677744,2025-01-23,2028-01-23,153.64,807395.97,500,active,AGT-0106,2024-12-31 00:00:00
POL-200119,101802,home,INS-10843971,2025-04-03,2026-04-03,4208.67,359411.96,1500,active,AGT-0107,2025-03-19 00:00:00
POL-200120,101503,health,INS-18200340,2025-06-28,2027-06-28,2344.41,344423.32,2500,active,AGT-0186,2025-06-11 00:00:00
POL-200121,100422,home,INS-93582717,2024-03-20,2027-03-20,995.28,202655.92,5000,expired,AGT-0159,2024-03-08 00:00:00
POL-200122,101844,health,INS-32031066,2025-04-16,2027-04-16,3237.8,221378.55,500,active,AGT-0139,2025-03-26 00:00:00
POL-200123,100927,life,INS-64651847,2025-04-24,2026-04-24,1037.08,344306.32,500,expired,AGT-0133,2025-04-10 00:00:00
POL-200124,100370,health,INS-88797888,2023-02-18,2026-02-17,1071.94,571718.98,500,active,AGT-0191,2023-01-27 00:00:00
POL-200125,101154,home,INS-45879579,2025-04-03,2028-04-02,3920.2,205831.65,1500,active,AGT-0063,2025-03-06 00:00:00
POL-200126,101513,home,INS-71149179,2025-09-23,2027-09-23,3071.27,765758.7,2000,expired,AGT-0010,2025-09-01 00:00:00
POL-200127,100199,auto,INS-46190692,2023-06-25,2024-06-24,92.91,863626.78,250,active,AGT-0024,2023-06-14 00:00:00
POL-200128,101908,life,INS-39510832,2024-02-20,2027-02-19,795.48,220881.74,5000,active,AGT-0160,2024-01-21 00:00:00
POL-200129,100647,health,INS-78668689,2025-08-30,2027-08-30,3532.84,296843.64,250,cancelled,AGT-0041,2025-08-01 00:00:00
POL-200130,101804,home,INS-98420032,2023-12-01,2025-11-30,636.28,911129.18,1500,active,AGT-0142,2023-11-10 00:00:00
POL-200131,100962,life,INS-65030524,2024-05-25,2025-05-25,3336.15,155179.83,1500,active,AGT-0011,2024-05-20 00:00:00
POL-200132,101803,health,INS-11420765,2025-08-26,2027-08-26,2410.56,769466.71,2000,expired,AGT-0093,2025-07-27 00:00:00
POL-200133,100904,home,INS-13352949,2025-07-05,2026-07-05,4852.97,947138.04,2000,active,AGT-0087,2025-07-02 00:00:00
POL-200134,101816,life,INS-57603961,2023-05-22,2024-05-21,717.97,307103.5,1500,pending,AGT-0029,2023-04-22 00:00:00
POL-200135,101620,home,INS-08492970,2024-10-18,2026-10-18,3571.47,949274.16,250,active,AGT-0127,2024-10-17 00:00:00
POL-200136,101274,health,INS-45386876,2023-12-13,2025-12-12,4263.7,200102.92,1000,pending,AGT-0007,2023-11-27 00:00:00
POL-200137,100653,home,INS-12976762,2023-04-17,2026-04-16,1232.08,313569.76,1500,pending,AGT-0087,2023-04-15 00:00:00
POL-200138,100559,health,INS-13545614,2023-06-14,2025-06-13,2778.81,139343.36,2000,active,AGT-0147,2023-06-13 00:00:00
POL-200139,100620,health,INS-31538348,2024-02-13,2026-02-12,1931.08,45623.33,2500,active,AGT-0097,2024-02-02 00:00:00
POL-200140,100752,health,INS-99531200,2025-04-13,2028-04-12,1743.54,943477.19,2500,active,AGT-0050,2025-03-28 00:00:00
POL-200141,100577,life,INS-85904002,2023-06-20,2025-06-19,4597.94,93947.35,2500,pending,AGT-0131,2023-05-22 00:00:00
POL-200142,100233,auto,INS-41703642,2023-09-21,2024-09-20,1252.66,185336.15,250,active,AGT-0061,2023-08-27 00:00:00
POL-200143,100179,auto,INS-37331342,2023-01-20,2026-01-19,116.56,808916.38,5000,pending,AGT-0019,2023-01-15 00:00:00
POL-200144,101194,health,INS-41471897,2024-11-08,2027-11-08,573.87,130758.61,2500,active,AGT-0191,2024-10-09 00:00:00
POL-200145,100167,home,INS-62177942,2023-07-07,2026-07-06,4759.39,13802.72,5000,expired,AGT-0054,2023-07-05 00:00:00
POL-200146,101469,auto,INS-92101727,2025-03-03,2027-03-03,3145.99,200712.2,5000,active,AGT-0127,2025-02-11 00:00:00
POL-200147,101447,home,INS-48215175,2025-08-18,2027-08-18,3671.25,595893.93,5000,active,AGT-0048,2025-08-01 00:00:00
POL-200148,100013,auto,INS-07963132,2023-12-27,2024-12-26,1353.14,879394.88,2000,pending,AGT-0180,2023-12-23 00:00:00
POL-200149,101440,auto,INS-40496196,2024-01-21,2025-01-20,4250.65,758723.38,500,active,AGT-0163,2023-12-25 00:00:00
POL-200150,101214,life,INS-51966271,2025-04-24,2028-04-23,3220.95,226075.65,1000,cancelled,AGT-0189,2025-04-16 00:00:00
POL-200151,101087,auto,INS-45706586,2024-05-30,2026-05-30,3783.77,74006.8,250,active,AGT-0188,2024-05-28 00:00:00
POL-200152,101270,health,INS-86237857,2023-06-13,2026-06-12,3833.95,718948.61,250,pending,AGT-0173,2023-06-10 00:00:00
POL-200153,100653,life,INS-71712199,2023-05-15,2026-05-14,1349.06,841327.92,1500,active,AGT-0123,2023-05-03 00:00:00
POL-200154,101024,life,INS-93917670,2025-09-28,2027-09-28,2752.29,747519.66,500,expired,AGT-0011,2025-09-05 00:00:00
POL-200155,100723,health,INS-70022796,2025-08-10,2027-08-10,1655.62,798289.14,1500,active,AGT-0119,2025-07-26 00:00:00
POL-200156,100313,home,INS-24452784,2025-02-28,2027-02-28,4750.69,874628.14,5000,active,AGT-0162,2025-02-23 00:00:00
POL-200157,100819,life,INS-30039878,2023-01-29,2025-01-28,3967.31,665154.35,500,active,AGT-0048,2023-01-22 00:00:00
POL-200158,100195,auto,INS-06465949,2025-03-12,2027-03-12,792.0,343942.07,250,active,AGT-0041,2025-03-02 00:00:00
POL-200159,101700,life,INS-18684987,2024-04-11,2025-04-11,2458.35,726491.91,1500,active,AGT-0041,2024-03-26 00:00:00
POL-200160,101985,auto,INS-49320392,2024-12-24,2025-12-24,381.19,330049.68,1500,expired,AGT-0037,2024-12-16 00:00:00
POL-200161,101063,health,INS-26868703,2024-03-19,2026-03-19,2478.01,957288.15,2500,active,AGT-0162,2024-03-09 00:00:00
POL-200162,101401,health,INS-75578545,2023-09-07,2026-09-06,690.67,289078.15,2500,active,AGT-0177,2023-08-10 00:00:00
POL-200163,100263,life,INS-76530924,2025-08-27,2026-08-27,137.66,376308.43,500,active,AGT-0084,2025-08-04 00:00:00
POL-200164,100479,life,INS-64308132,2025-09-02,2027-09-02,2797.23,581447.6,1000,expired,AGT-0033,2025-08-22 00:00:00
POL-200165,101601,home,INS-22575041,2024-04-30,2025-04-30,2468.51,475055.02,250,active,AGT-0025,2024-04-17 00:00:00
POL-200166,101537,home,INS-22664350,2024-10-20,2025-10-20,2669.72,468062.37,2500,active,AGT-0116,2024-10-07 00:00:00
POL-200167,101593,home,INS-94557314,2024-07-19,2027-07-19,758.26,849295.06,250,active,AGT-0058,2024-06-28 00:00:00
POL-200168,100007,life,INS-92662247,2024-12-30,2027-12-30,2438.64,154658.99,1000,pending,AGT-0125,2024-12-19 00:00:00
POL-200169,101239,home,INS-76038280,2024-01-21,2027-01-20,3045.15,302663.38,250,expired,AGT-0050,2024-01-04 00:00:00
POL-200170,101637,life,INS-71002458,2024-05-23,2026-05-23,2143.81,820400.67,250,active,AGT-0053,2024-05-18 00:00:00
POL-200171,100607,auto,INS-86417939,2023-03-01,2026-02-28,3237.74,427208.99,1000,active,AGT-0038,2023-02-14 00:00:00
POL-200172,101282,health,INS-96979339,2023-11-18,2026-11-17,2248.49,320946.14,1000,active,AGT-0051,2023-10-26 00:00:00
POL-200173,101243,health,INS-33833876,2024-08-06,2025-08-06,2953.08,329575.68,250,active,AGT-0084,2024-07-19 00:00:00
POL-200174,100978,life,INS-88386898,2023-10-18,2025-10-17,4167.43,381278.76,250,expired,AGT-0166,2023-10-07 00:00:00
POL-200175,100811,home,INS-25817386,2024-10-30,2027-10-30,4188.56,44188.65,1000,active,AGT-0194,2024-10-11 00:00:00
POL-200176,100081,auto,INS-81652235,2023-09-28,2025-09-27,366.2,77215.71,500,active,AGT-0042,2023-09-05 00:00:00
POL-200177,100482,auto,INS-07993787,2025-01-07,2027-01-07,1723.88,418515.37,5000,active,AGT-0103,2024-12-20 00:00:00
POL-200178,100128,health,INS-35219980,2025-03-21,2028-03-20,817.17,824617.49,5000,active,AGT-0041,2025-03-17 00:00:00
POL-200179,101563,life,INS-68496033,2024-04-10,2025-04-10,329.75,686686.72,250,active,AGT-0179,2024-04-02 00:00:00
POL-200180,100981,auto,INS-42995086,2023-03-28,2024-03-27,3804.71,950466.36,5000,active,AGT-0082,2023-03-17 00:00:00
POL-200181,100794,health,INS-72266281,2023-02-09,2026-02-08,3839.41,497304.99,2500,expired,AGT-0107,2023-01-22 00:00:00
POL-200182,100140,auto,INS-07677786,2024-02-14,2027-02-13,228.23,237210.93,1500,active,AGT-0180,2024-02-11 00:00:00
POL-200183,101192,life,INS-73971819,2025-11-08,2026-11-08,2016.05,160733.29,250,pending,AGT-0191,2025-10-19 00:00:00
POL-200184,100577,life,INS-05974689,2025-02-05,2028-02-05,1972.68,836474.12,5000,expired,AGT-0086,2025-01-29 00:00:00
POL-200185,100670,life,INS-93305374,2025-03-15,2026-03-15,3269.79,457133.27,1500,expired,AGT-0167,2025-02-21 00:00:00
POL-200186,101049,health,INS-06242610,2024-02-24,2025-02-23,607.83,393577.54,250,expired,AGT-0053,2024-02-17 00:00:00
POL-200187,101556,life,INS-33248773,2024-03-14,2027-03-14,4098.41,367328.94,250,expired,AGT-0059,2024-02-24 00:00:00
POL-200188,101824,life,INS-65188491,2024-03-20,2027-03-20,167.87,22236.73,5000,active,AGT-0086,2024-03-13 00:00:00
POL-200189,101024,health,INS-98661329,2024-11-01,2026-11-01,4921.94,605794.85,500,pending,AGT-0123,2024-10-14 00:00:00
POL-200190,101223,life,INS-40635724,2024-05-23,2025-05-23,3101.03,885568.23,5000,active,AGT-0013,2024-04-25 00:00:00
POL-200191,100023,life,INS-76398572,2023-01-01,2024-12-31,2253.05,731460.75,500,active,AGT-0095,2022-12-25 00:00:00
POL-200192,101323,home,INS-68500728,2025-05-16,2028-05-15,4388.4,85338.51,1500,expired,AGT-0077,2025-04-21 00:00:00
POL-200193,100072,auto,INS-43858009,2024-09-10,2025-09-10,1350.49,930824.49,5000,pending,AGT-0031,2024-08-11 00:00:00
POL-200194,101304,auto,INS-99866924,2025-09-02,2026-09-02,121.0,95234.32,500,active,AGT-0149,2025-08-10 00:00:00
POL-200195,101142,life,INS-50514904,2024-07-07,2025-07-07,3529.24,484927.75,2500,expired,AGT-0056,2024-07-04 00:00:00
POL-200196,100815,health,INS-87359754,2023-03-03,2024-03-02,2512.25,832146.7,1500,active,AGT-0004,2023-02-12 00:00:00
POL-200197,101838,auto,INS-34536499,2023-05-10,2025-05-09,3564.01,721682.13,500,cancelled,AGT-0007,2023-04-18 00:00:00
POL-200198,100557,home,INS-61077997,2024-04-25,2027-04-25,2267.55,11929.1,2500,active,AGT-0145,2024-03-29 00:00:00
POL-200199,101756,health,INS-72222646,2025-09-27,2026-09-27,3592.07,745100.71,1000,active,AGT-0154,2025-09-15 00:00:00
POL-200200,100935,health,INS-15330027,2023-12-02,2025-12-01,3310.08,377559.56,2000,expired,AGT-0083,2023-11-08 00:00:00
POL-200201,101310,life,INS-02750769,2025-04-13,2026-04-13,2922.05,378388.82,1000,cancelled,AGT-0038,2025-03-17 00:00:00
POL-200202,101378,health,INS-76938051,2025-04-15,2027-04-15,4808.86,95581.1,1000,cancelled,AGT-0086,2025-03-16 00:00:00
POL-200203,100735,health,INS-45386901,2025-07-12,2028-07-11,4315.91,172633.39,250,active,AGT-0161,2025-07-07 00:00:00
POL-200204,101227,life,INS-68120750,2023-11-23,2026-11-22,740.63,818095.64,500,cancelled,AGT-0102,2023-11-20 00:00:00
POL-200205,101687,health,INS-00699155,2023-08-18,2026-08-17,2742.78,524373.16,2000,active,AGT-0141,2023-07-27 00:00:00
POL-200206,101930,home,INS-85939224,2024-04-09,2027-04-09,3563.28,341550.74,250,active,AGT-0096,2024-03-22 00:00:00
