test_id,batch_id,test_type,test_date,result_value,unit,specification_min,specification_max,pass_fail,analyst_id,equipment_id,lab_id,deviation_id,notes,created_at
TST-000030,BAT-000017,purity,2024-05-18,100.77,%,98.0,100.0,fail,ANL-002,EQP-0034,LAB-001,DEV-3515,Root cause analysis pending,2024-05-18 23:21:15
TST-000031,BAT-001272,purity,2025-04-28,99.72,%,98.0,100.0,pass,ANL-025,EQP-0055,LAB-009,,Minor deviation noted,2025-04-28 19:24:10
TST-000032,BAT-001915,potency,2025-02-15,98.57,%,95.0,105.0,pass,ANL-030,EQP-0041,LAB-008,,,2025-02-15 11:06:03
TST-000033,BAT-001748,purity,2024-10-04,98.85,%,98.0,100.0,pass,ANL-023,EQP-0027,LAB-008,,,2024-10-04 05:55:10
TST-000034,BAT-002171,potency,2025-05-11,101.05,%,95.0,105.0,pass,ANL-013,EQP-0025,LAB-015,,,2025-05-11 19:42:20
TST-000035,BAT-002312,stability,2023-02-15,89.2,%,90.0,110.0,fail,ANL-019,EQP-0060,LAB-008,DEV-2529,Retest required,2023-02-15 22:25:37
TST-000036,BAT-002585,identity,2024-12-26,0.9921,ratio,0.98,1.02,pass,ANL-009,EQP-0014,LAB-001,,Minor deviation noted,2024-12-26 07:18:17
TST-000037,BAT-000771,stability,2024-12-16,103.72,%,90.0,110.0,pass,ANL-033,EQP-0084,LAB-011,,,2024-12-16 06:44:26
TST-000038,BAT-001736,microbial,2025-06-10,10.0,CFU/g,0,100,pass,ANL-025,EQP-0100,LAB-015,,,2025-06-10 22:32:02
TST-000039,BAT-002066,identity,2025-03-24,1.0201,ratio,0.98,1.02,fail,ANL-020,EQP-0094,LAB-014,DEV-8968,OOS investigation initiated,2025-03-24 11:27:43
TST-000040,BAT-001514,purity,2025-04-25,100.18,%,98.0,100.0,fail,ANL-021,EQP-0065,LAB-015,DEV-5362,Root cause analysis pending,2025-04-25 13:54:46
TST-000041,BAT-001730,microbial,2023-04-27,23.0,CFU/g,0,100,pass,ANL-011,EQP-0081,LAB-005,,,2023-04-27 17:07:58
TST-000042,BAT-002728,microbial,2025-08-05,31.0,CFU/g,0,100,pass,ANL-001,EQP-0028,LAB-002,,,2025-08-05 02:10:38
TST-000043,BAT-002284,potency,2025-04-05,100.75,%,95.0,105.0,pass,ANL-040,EQP-0070,LAB-015,,,2025-04-05 09:32:53
TST-000044,BAT-002972,dissolution,2024-02-04,96.22,%,80.0,100.0,pass,ANL-036,EQP-0074,LAB-001,,,2024-02-05 02:00:09
TST-000045,BAT-002188,purity,2023-10-26,99.45,%,98.0,100.0,pass,ANL-035,EQP-0049,LAB-015,,Sample re-prepared,2023-10-27 05:05:59
TST-000046,BAT-002599,purity,2024-08-24,101.22,%,98.0,100.0,fail,ANL-007,EQP-0028,LAB-002,DEV-1981,Retest required,2024-08-24 01:17:41
TST-000047,BAT-001730,identity,2024-10-18,0.9998,ratio,0.98,1.02,pass,ANL-021,EQP-0082,LAB-010,,,2024-10-18 15:50:53
TST-000048,BAT-002603,identity,2024-04-16,0.9896,ratio,0.98,1.02,pass,ANL-041,EQP-0004,LAB-009,,Within spec,2024-04-17 02:29:18
TST-000049,BAT-002969,microbial,2023-01-14,37.0,CFU/g,0,100,pass,ANL-029,EQP-0068,LAB-003,,Within spec,2023-01-14 15:09:40
TST-000050,BAT-002892,purity,2024-11-12,100.15,%,98.0,100.0,fail,ANL-002,EQP-0037,LAB-015,DEV-9616,Root cause analysis pending,2024-11-12 18:12:55
TST-000051,BAT-001367,dissolution,2025-01-25,93.24,%,80.0,100.0,pass,ANL-016,EQP-0081,LAB-012,,,2025-01-26 06:10:51
TST-000052,BAT-000821,identity,2023-05-01,0.9987,ratio,0.98,1.02,pass,ANL-031,EQP-0086,LAB-006,,,2023-05-02 04:35:12
TST-000053,BAT-000564,dissolution,2025-01-16,92.96,%,80.0,100.0,pass,ANL-047,EQP-0033,LAB-004,,Retest performed,2025-01-16 13:21:37
TST-000054,BAT-000456,stability,2025-04-26,101.55,%,90.0,110.0,pass,ANL-023,EQP-0084,LAB-014,,,2025-04-26 08:47:27
TST-000055,BAT-001674,stability,2023-07-29,102.41,%,90.0,110.0,pass,ANL-034,EQP-0040,LAB-014,,,2023-07-29 13:02:11
TST-000056,BAT-001805,microbial,2024-03-02,25.0,CFU/g,0,100,pass,ANL-017,EQP-0002,LAB-013,,Minor deviation noted,2024-03-02 02:28:24
TST-000057,BAT-001361,stability,2024-11-28,97.08,%,90.0,110.0,pass,ANL-008,EQP-0077,LAB-010,,,2024-11-28 20:42:29
TST-000058,BAT-002094,identity,2024-05-06,1.0255,ratio,0.98,1.02,fail,ANL-041,EQP-0017,LAB-006,DEV-8003,Deviation logged,2024-05-07 02:07:48
TST-000059,BAT-002720,dissolution,2023-08-21,89.47,%,80.0,100.0,pass,ANL-026,EQP-0059,LAB-003,,Minor deviation noted,2023-08-21 15:48:36
TST-000060,BAT-002346,microbial,2023-03-27,102.0,CFU/g,0,100,fail,ANL-046,EQP-0054,LAB-008,DEV-3654,Retest required,2023-03-27 09:17:23
TST-000061,BAT-000179,stability,2025-10-31,105.12,%,90.0,110.0,pass,ANL-007,EQP-0041,LAB-013,,,2025-11-01 03:00:19
TST-000062,BAT-000427,purity,2025-03-13,100.16,%,98.0,100.0,fail,ANL-043,EQP-0069,LAB-009,DEV-4823,Root cause analysis pending,2025-03-13 22:21:35
TST-000063,BAT-000970,microbial,2023-07-29,33.0,CFU/g,0,100,pass,ANL-009,EQP-0020,LAB-006,,Minor deviation noted,2023-07-29 20:37:18
TST-000064,BAT-001734,identity,2025-02-17,1.0136,ratio,0.98,1.02,pass,ANL-012,EQP-0073,LAB-007,,Minor deviation noted,2025-02-17 13:22:30
TST-000065,BAT-000356,potency,2023-12-19,98.46,%,95.0,105.0,pass,ANL-042,EQP-0071,LAB-001,,Retest performed,2023-12-19 07:19:34
TST-000066,BAT-000823,stability,2025-10-09,102.97,%,90.0,110.0,pass,ANL-046,EQP-0040,LAB-014,,,2025-10-09 16:43:49
TST-000067,BAT-001682,purity,2025-01-17,99.59,%,98.0,100.0,pass,ANL-003,EQP-0007,LAB-012,,Minor deviation noted,2025-01-17 08:28:19
TST-000068,BAT-000609,stability,2024-10-02,103.79,%,90.0,110.0,pass,ANL-025,EQP-0082,LAB-014,,Retest performed,2024-10-02 23:29:44
TST-000069,BAT-002399,stability,2023-04-28,98.49,%,90.0,110.0,pass,ANL-001,EQP-0007,LAB-010,,,2023-04-28 07:41:22
TST-000070,BAT-001761,stability,2024-07-06,106.83,%,90.0,110.0,pass,ANL-020,EQP-0044,LAB-005,,Sample re-prepared,2024-07-06 14:23:54
TST-000071,BAT-000159,potency,2023-05-30,97.01,%,95.0,105.0,pass,ANL-026,EQP-0017,LAB-011,,Retest performed,2023-05-30 14:20:53
TST-000072,BAT-002979,dissolution,2025-10-08,90.96,%,80.0,100.0,pass,ANL-001,EQP-0083,LAB-006,,,2025-10-08 03:10:52
TST-000073,BAT-002925,purity,2024-06-11,98.99,%,98.0,100.0,pass,ANL-044,EQP-0026,LAB-001,,,2024-06-12 07:27:05
TST-000074,BAT-000813,purity,2023-06-19,98.63,%,98.0,100.0,pass,ANL-026,EQP-0048,LAB-014,,Minor deviation noted,2023-06-19 15:04:45
TST-000075,BAT-002333,potency,2023-03-13,100.0,%,95.0,105.0,pass,ANL-049,EQP-0009,LAB-014,,Minor deviation noted,2023-03-13 07:22:28
TST-000076,BAT-002027,potency,2023-11-28,99.13,%,95.0,105.0,pass,ANL-001,EQP-0082,LAB-003,,Retest performed,2023-11-28 18:05:30
TST-000077,BAT-000138,potency,2024-09-24,99.83,%,95.0,105.0,pass,ANL-027,EQP-0033,LAB-004,,,2024-09-24 16:29:28
TST-000078,BAT-002357,identity,2024-04-21,1.0056,ratio,0.98,1.02,pass,ANL-022,EQP-0018,LAB-015,,Minor deviation noted,2024-04-21 14:05:05
TST-000079,BAT-002760,identity,2024-07-07,1.0081,ratio,0.98,1.02,pass,ANL-019,EQP-0064,LAB-015,,Within spec,2024-07-07 13:34:06
TST-000080,BAT-002753,dissolution,2023-05-04,91.64,%,80.0,100.0,pass,ANL-027,EQP-0002,LAB-003,,,2023-05-04 19:09:53
TST-000081,BAT-002872,microbial,2024-07-01,4.0,CFU/g,0,100,pass,ANL-022,EQP-0046,LAB-010,,,2024-07-01 16:48:55
TST-000082,BAT-001297,microbial,2023-10-18,1.0,CFU/g,0,100,pass,ANL-044,EQP-0045,LAB-015,,,2023-10-19 04:51:32
TST-000083,BAT-000671,microbial,2023-09-13,29.0,CFU/g,0,100,pass,ANL-007,EQP-0052,LAB-015,,,2023-09-14 01:03:31
TST-000084,BAT-002985,purity,2023-02-01,100.01,%,98.0,100.0,fail,ANL-030,EQP-0091,LAB-005,DEV-3193,Root cause analysis pending,2023-02-02 00:11:49
TST-000085,BAT-002636,dissolution,2023-12-20,87.99,%,80.0,100.0,pass,ANL-050,EQP-0092,LAB-003,,Within spec,2023-12-20 05:59:45
TST-000086,BAT-001414,identity,2024-12-10,0.9759,ratio,0.98,1.02,fail,ANL-046,EQP-0007,LAB-005,DEV-9173,Deviation logged,2024-12-10 13:23:15
TST-000087,BAT-001862,purity,2024-02-11,99.19,%,98.0,100.0,pass,ANL-047,EQP-0036,LAB-015,,Minor deviation noted,2024-02-12 01:39:31
TST-000088,BAT-000616,identity,2025-03-03,1.0042,ratio,0.98,1.02,pass,ANL-037,EQP-0002,LAB-007,,,2025-03-03 11:44:11
TST-000089,BAT-002572,identity,2023-04-26,1.0167,ratio,0.98,1.02,pass,ANL-003,EQP-0077,LAB-010,,,2023-04-27 00:41:44
TST-000090,BAT-002290,dissolution,2024-03-28,96.86,%,80.0,100.0,pass,ANL-038,EQP-0073,LAB-004,,,2024-03-29 00:24:47
TST-000091,BAT-001554,identity,2024-02-08,0.9986,ratio,0.98,1.02,pass,ANL-008,EQP-0017,LAB-009,,,2024-02-08 12:19:33
TST-000092,BAT-001736,dissolution,2025-02-24,86.04,%,80.0,100.0,pass,ANL-050,EQP-0024,LAB-005,,,2025-02-25 00:05:01
TST-000093,BAT-000008,dissolution,2025-09-26,95.54,%,80.0,100.0,pass,ANL-031,EQP-0073,LAB-010,,Sample re-prepared,2025-09-26 08:15:02
TST-000094,BAT-001482,microbial,2024-02-10,5.0,CFU/g,0,100,pass,ANL-025,EQP-0045,LAB-002,,Sample re-prepared,2024-02-10 15:21:43
TST-000095,BAT-000914,dissolution,2023-11-14,93.5,%,80.0,100.0,pass,ANL-045,EQP-0004,LAB-009,,,2023-11-14 20:07:17
TST-000096,BAT-001698,identity,2023-12-03,0.9961,ratio,0.98,1.02,pass,ANL-047,EQP-0031,LAB-010,,,2023-12-03 12:02:25
TST-000097,BAT-002500,identity,2024-03-30,1.0017,ratio,0.98,1.02,pass,ANL-021,EQP-0080,LAB-001,,Retest performed,2024-03-30 15:40:47
TST-000098,BAT-000858,identity,2023-07-11,1.0232,ratio,0.98,1.02,fail,ANL-005,EQP-0082,LAB-002,DEV-3556,Retest required,2023-07-11 22:51:47
TST-000099,BAT-000748,stability,2024-04-24,98.84,%,90.0,110.0,pass,ANL-021,EQP-0033,LAB-005,,,2024-04-24 16:13:32
TST-000100,BAT-002268,microbial,2025-06-25,5.0,CFU/g,0,100,pass,ANL-041,EQP-0059,LAB-001,,,2025-06-25 23:05:06
TST-000101,BAT-000239,dissolution,2023-02-13,88.31,%,80.0,100.0,pass,ANL-002,EQP-0080,LAB-006,,,2023-02-13 22:34:57
TST-000102,BAT-002616,stability,2023-07-22,97.9,%,90.0,110.0,pass,ANL-026,EQP-0023,LAB-015,,,2023-07-22 09:10:36
TST-000103,BAT-002924,identity,2023-11-11,1.0046,ratio,0.98,1.02,pass,ANL-028,EQP-0043,LAB-008,,,2023-11-11 03:59:01
TST-000104,BAT-000014,stability,2025-07-30,96.97,%,90.0,110.0,pass,ANL-003,EQP-0062,LAB-009,,,2025-07-31 03:02:52
TST-000105,BAT-001807,microbial,2025-03-14,14.0,CFU/g,0,100,pass,ANL-011,EQP-0090,LAB-011,,Sample re-prepared,2025-03-14 11:22:20
TST-000106,BAT-002541,microbial,2025-08-23,11.0,CFU/g,0,100,pass,ANL-025,EQP-0073,LAB-013,,Within spec,2025-08-23 21:14:07
TST-000107,BAT-002127,dissolution,2024-07-16,89.39,%,80.0,100.0,pass,ANL-018,EQP-0014,LAB-014,,Retest performed,2024-07-16 10:25:23
TST-000108,BAT-002077,dissolution,2024-12-03,100.36,%,80.0,100.0,fail,ANL-026,EQP-0019,LAB-012,DEV-3516,Retest required,2024-12-03 18:43:47
TST-000109,BAT-000413,stability,2024-06-30,98.59,%,90.0,110.0,pass,ANL-021,EQP-0078,LAB-012,,,2024-06-30 21:52:23
TST-000110,BAT-000680,stability,2024-03-17,93.22,%,90.0,110.0,pass,ANL-007,EQP-0047,LAB-011,,,2024-03-17 12:31:52
TST-000111,BAT-000918,purity,2023-11-15,99.98,%,98.0,100.0,pass,ANL-042,EQP-0058,LAB-010,,,2023-11-15 06:42:12
TST-000112,BAT-000292,identity,2023-11-28,0.9883,ratio,0.98,1.02,pass,ANL-025,EQP-0009,LAB-010,,Sample re-prepared,2023-11-28 10:20:11
TST-000113,BAT-000389,stability,2024-08-12,94.28,%,90.0,110.0,pass,ANL-041,EQP-0007,LAB-003,,Sample re-prepared,2024-08-12 13:17:22
TST-000114,BAT-000084,potency,2023-03-09,101.45,%,95.0,105.0,pass,ANL-043,EQP-0079,LAB-013,,Retest performed,2023-03-09 13:42:25
TST-000115,BAT-002138,identity,2024-12-21,1.0108,ratio,0.98,1.02,pass,ANL-050,EQP-0001,LAB-006,,,2024-12-21 23:36:10
TST-000116,BAT-002608,purity,2024-05-20,99.74,%,98.0,100.0,pass,ANL-042,EQP-0054,LAB-004,,,2024-05-20 20:46:24
TST-000117,BAT-002516,identity,2023-01-05,1.0211,ratio,0.98,1.02,fail,ANL-032,EQP-0050,LAB-010,DEV-6421,Retest required,2023-01-05 12:15:30
TST-000118,BAT-000699,identity,2025-05-14,0.9872,ratio,0.98,1.02,pass,ANL-046,EQP-0064,LAB-005,,,2025-05-14 10:56:35
TST-000119,BAT-000768,purity,2024-09-05,99.71,%,98.0,100.0,pass,ANL-021,EQP-0025,LAB-002,,,2024-09-06 00:57:07
TST-000120,BAT-001426,purity,2025-11-04,99.41,%,98.0,100.0,pass,ANL-009,EQP-0085,LAB-001,,,2025-11-04 13:17:12
TST-000121,BAT-001332,stability,2025-07-25,107.09,%,90.0,110.0,pass,ANL-047,EQP-0013,LAB-005,,Within spec,2025-07-25 07:15:13
TST-000122,BAT-001029,identity,2025-08-03,0.9981,ratio,0.98,1.02,pass,ANL-038,EQP-0091,LAB-010,,,2025-08-03 21:15:41
TST-000123,BAT-002703,dissolution,2024-05-05,98.69,%,80.0,100.0,pass,ANL-012,EQP-0082,LAB-005,,Minor deviation noted,2024-05-05 09:26:52
TST-000124,BAT-002265,dissolution,2023-01-10,101.87,%,80.0,100.0,fail,ANL-029,EQP-0086,LAB-002,DEV-3311,Root cause analysis pending,2023-01-11 02:27:37
TST-000125,BAT-001846,purity,2025-10-31,99.09,%,98.0,100.0,pass,ANL-034,EQP-0043,LAB-001,,Minor deviation noted,2025-10-31 13:28:20
TST-000126,BAT-000241,dissolution,2025-11-12,94.82,%,80.0,100.0,pass,ANL-006,EQP-0083,LAB-015,,Sample re-prepared,2025-11-12 23:02:51
TST-000127,BAT-000126,purity,2023-05-20,100.14,%,98.0,100.0,fail,ANL-029,EQP-0017,LAB-001,DEV-9704,Root cause analysis pending,2023-05-20 14:17:06
TST-000128,BAT-001455,microbial,2023-06-13,6.0,CFU/g,0,100,pass,ANL-027,EQP-0055,LAB-015,,Sample re-prepared,2023-06-13 20:07:25
TST-000129,BAT-002537,stability,2024-09-17,99.17,%,90.0,110.0,pass,ANL-006,EQP-0093,LAB-006,,,2024-09-17 04:26:39
TST-000130,BAT-002935,dissolution,2023-12-31,82.46,%,80.0,100.0,pass,ANL-001,EQP-0099,LAB-002,,Retest performed,2023-12-31 11:10:13
TST-000131,BAT-000760,stability,2025-10-13,96.95,%,90.0,110.0,pass,ANL-030,EQP-0048,LAB-007,,Retest performed,2025-10-13 07:37:35
TST-000132,BAT-001486,identity,2024-12-12,1.0079,ratio,0.98,1.02,pass,ANL-047,EQP-0018,LAB-010,,Within spec,2024-12-12 18:47:19
TST-000133,BAT-001965,dissolution,2023-05-10,90.41,%,80.0,100.0,pass,ANL-034,EQP-0042,LAB-010,,Minor deviation noted,2023-05-10 21:25:38
TST-000134,BAT-002976,purity,2024-01-10,98.78,%,98.0,100.0,pass,ANL-004,EQP-0079,LAB-013,,Within spec,2024-01-11 01:25:27
TST-000135,BAT-001746,identity,2023-10-16,1.0115,ratio,0.98,1.02,pass,ANL-027,EQP-0013,LAB-014,,,2023-10-16 22:50:07
TST-000136,BAT-001370,purity,2024-12-20,100.34,%,98.0,100.0,fail,ANL-021,EQP-0027,LAB-013,DEV-4600,OOS investigation initiated,2024-12-20 05:31:30
TST-000137,BAT-000676,microbial,2025-07-15,0.0,CFU/g,0,100,pass,ANL-046,EQP-0068,LAB-002,,,2025-07-15 18:48:47
TST-000138,BAT-000611,microbial,2023-11-11,1.0,CFU/g,0,100,pass,ANL-008,EQP-0046,LAB-014,,Minor deviation noted,2023-11-11 10:45:02
TST-000139,BAT-001962,potency,2023-03-20,98.84,%,95.0,105.0,pass,ANL-015,EQP-0056,LAB-014,,,2023-03-20 18:04:39
TST-000140,BAT-000237,dissolution,2025-06-14,91.06,%,80.0,100.0,pass,ANL-018,EQP-0016,LAB-002,,,2025-06-14 09:32:49
TST-000141,BAT-002691,microbial,2025-09-20,39.0,CFU/g,0,100,pass,ANL-029,EQP-0078,LAB-007,,,2025-09-21 00:55:44
TST-000142,BAT-000426,microbial,2025-06-12,77.0,CFU/g,0,100,pass,ANL-029,EQP-0005,LAB-010,,Minor deviation noted,2025-06-12 22:05:31
TST-000143,BAT-002758,potency,2025-05-03,96.64,%,95.0,105.0,pass,ANL-010,EQP-0020,LAB-010,,,2025-05-03 19:00:01
TST-000144,BAT-000076,microbial,2025-11-06,28.0,CFU/g,0,100,pass,ANL-046,EQP-0061,LAB-008,,Retest performed,2025-11-06 04:56:36
TST-000145,BAT-001049,purity,2024-12-08,99.77,%,98.0,100.0,pass,ANL-040,EQP-0052,LAB-009,,Sample re-prepared,2024-12-08 12:40:12
TST-000146,BAT-002204,identity,2024-10-31,1.0109,ratio,0.98,1.02,pass,ANL-033,EQP-0024,LAB-012,,Retest performed,2024-10-31 09:34:43
TST-000147,BAT-000051,potency,2025-06-04,99.94,%,95.0,105.0,pass,ANL-005,EQP-0042,LAB-005,,,2025-06-04 14:40:58
TST-000148,BAT-001364,microbial,2024-07-05,0.0,CFU/g,0,100,pass,ANL-049,EQP-0028,LAB-007,,Within spec,2024-07-05 16:51:11
TST-000149,BAT-000621,identity,2025-10-18,1.0162,ratio,0.98,1.02,pass,ANL-029,EQP-0098,LAB-012,,Minor deviation noted,2025-10-19 01:05:16
TST-000150,BAT-001135,potency,2025-04-12,102.49,%,95.0,105.0,pass,ANL-035,EQP-0024,LAB-005,,,2025-04-12 11:24:04
TST-000151,BAT-001264,microbial,2025-09-25,35.0,CFU/g,0,100,pass,ANL-042,EQP-0031,LAB-008,,,2025-09-25 06:23:43
TST-000152,BAT-001721,dissolution,2023-03-28,83.22,%,80.0,100.0,pass,ANL-043,EQP-0028,LAB-011,,,2023-03-28 23:28:05
TST-000153,BAT-001531,microbial,2024-09-26,20.0,CFU/g,0,100,pass,ANL-035,EQP-0011,LAB-013,,,2024-09-26 11:01:05
TST-000154,BAT-000484,identity,2025-08-07,0.9938,ratio,0.98,1.02,pass,ANL-024,EQP-0014,LAB-009,,,2025-08-07 15:10:03
TST-000155,BAT-002905,purity,2024-08-15,100.01,%,98.0,100.0,fail,ANL-029,EQP-0077,LAB-001,DEV-1431,Deviation logged,2024-08-15 09:26:10
TST-000156,BAT-001771,identity,2024-04-19,0.9831,ratio,0.98,1.02,pass,ANL-039,EQP-0034,LAB-001,,Retest performed,2024-04-19 11:30:33
TST-000157,BAT-002795,microbial,2023-04-11,8.0,CFU/g,0,100,pass,ANL-040,EQP-0033,LAB-015,,Within spec,2023-04-11 23:01:32
TST-000158,BAT-002026,microbial,2025-05-27,44.0,CFU/g,0,100,pass,ANL-040,EQP-0088,LAB-003,,,2025-05-27 10:03:18
TST-000159,BAT-002191,microbial,2023-03-26,0.0,CFU/g,0,100,pass,ANL-044,EQP-0007,LAB-011,,Minor deviation noted,2023-03-26 17:12:36
TST-000160,BAT-002141,potency,2024-03-28,99.63,%,95.0,105.0,pass,ANL-047,EQP-0050,LAB-002,,Minor deviation noted,2024-03-28 22:00:53
TST-000161,BAT-001954,stability,2025-11-29,101.53,%,90.0,110.0,pass,ANL-039,EQP-0036,LAB-003,,,2025-11-29 21:32:13
TST-000162,BAT-001677,stability,2023-03-19,99.08,%,90.0,110.0,pass,ANL-036,EQP-0020,LAB-005,,Sample re-prepared,2023-03-19 22:50:18
TST-000163,BAT-001045,microbial,2025-10-02,13.0,CFU/g,0,100,pass,ANL-045,EQP-0062,LAB-003,,Sample re-prepared,2025-10-03 02:47:18
TST-000164,BAT-000028,potency,2023-12-25,99.78,%,95.0,105.0,pass,ANL-013,EQP-0011,LAB-006,,,2023-12-25 02:38:41
TST-000165,BAT-002130,stability,2023-05-24,94.95,%,90.0,110.0,pass,ANL-012,EQP-0099,LAB-003,,Minor deviation noted,2023-05-24 16:34:45
TST-000166,BAT-002502,dissolution,2025-09-11,92.17,%,80.0,100.0,pass,ANL-027,EQP-0034,LAB-011,,,2025-09-11 10:50:42
TST-000167,BAT-002499,dissolution,2025-07-05,94.5,%,80.0,100.0,pass,ANL-012,EQP-0047,LAB-002,,Within spec,2025-07-05 06:11:14
TST-000168,BAT-000339,potency,2023-07-31,99.5,%,95.0,105.0,pass,ANL-015,EQP-0028,LAB-005,,Minor deviation noted,2023-07-31 20:05:35
TST-000169,BAT-000594,stability,2025-01-25,98.53,%,90.0,110.0,pass,ANL-037,EQP-0040,LAB-014,,Sample re-prepared,2025-01-25 14:35:03
TST-000170,BAT-001732,microbial,2023-09-25,5.0,CFU/g,0,100,pass,ANL-048,EQP-0048,LAB-005,,Sample re-prepared,2023-09-25 19:56:09
TST-000171,BAT-002844,dissolution,2024-02-02,84.64,%,80.0,100.0,pass,ANL-006,EQP-0031,LAB-009,,,2024-02-02 19:54:22
TST-000172,BAT-000481,potency,2024-05-01,98.64,%,95.0,105.0,pass,ANL-039,EQP-0036,LAB-013,,Minor deviation noted,2024-05-01 20:31:00
TST-000173,BAT-002754,dissolution,2023-06-09,86.35,%,80.0,100.0,pass,ANL-040,EQP-0070,LAB-013,,Within spec,2023-06-09 17:23:07
TST-000174,BAT-001510,purity,2023-09-02,99.95,%,98.0,100.0,pass,ANL-001,EQP-0065,LAB-013,,Sample re-prepared,2023-09-02 04:53:39
