sale_id,outlet_id,product_id,product_name,product_category,quantity,unit_price,discount_amount,total_amount,payment_method,is_prescription,sale_date,created_at
SAL-0000021,OUT-0268,PRD-020,Antasida Doen Tab,obat_bebas,3,4264.0,1919.0,10873.0,tunai,false,2025-09-21,2025-09-21 17:05:00
SAL-0000022,OUT-0077,PRD-011,Vitamin D3 1000IU,suplemen,1,61026.0,0.0,61026.0,qris,false,2024-05-24,2024-05-24 16:24:00
SAL-0000023,OUT-0247,PRD-020,Antasida Doen Tab,obat_bebas,1,4239.0,0.0,4239.0,qris,false,2025-07-04,2025-07-04 19:58:00
SAL-0000024,OUT-0102,PRD-018,Captopril 25mg,obat_keras,1,5680.0,0.0,5680.0,tunai,true,2025-04-06,2025-04-06 21:22:00
SAL-0000025,OUT-0006,PRD-016,Insulin Glargine,obat_keras,4,329646.0,65929.0,1252655.0,qris,true,2025-05-21,2025-05-21 15:26:00
SAL-0000026,OUT-0260,PRD-016,Insulin Glargine,obat_keras,2,331366.0,99410.0,563322.0,kredit,true,2024-10-26,2024-10-26 11:34:00
SAL-0000027,OUT-0170,PRD-006,Metformin 500mg,obat_keras,2,8359.0,2508.0,14210.0,kredit,true,2025-07-16,2025-07-16 17:07:00
SAL-0000028,OUT-0160,PRD-025,OBH Combi Batuk Pilek,obat_bebas,20,16614.0,16614.0,315666.0,kredit,false,2024-02-12,2024-02-12 20:46:00
SAL-0000029,OUT-0258,PRD-018,Captopril 25mg,obat_keras,2,5730.0,1146.0,10314.0,kredit,true,2026-02-08,2026-02-08 21:02:00
SAL-0000030,OUT-0264,PRD-009,Ibuprofen 400mg,obat_bebas,4,7318.0,0.0,29272.0,bpjs,false,2024-04-30,2024-04-30 20:51:00
SAL-0000031,OUT-0143,PRD-007,Amlodipine 10mg,obat_keras,2,23094.0,0.0,46188.0,bpjs,true,2025-09-16,2025-09-16 10:39:00
SAL-0000032,OUT-0081,PRD-007,Amlodipine 10mg,obat_keras,4,23104.0,4621.0,87795.0,qris,true,2024-10-14,2024-10-14 10:20:00
SAL-0000033,OUT-0172,PRD-010,Vitamin C 1000mg,suplemen,6,45524.0,13657.0,259487.0,asuransi_swasta,false,2025-11-26,2025-11-26 21:06:00
SAL-0000034,OUT-0078,PRD-025,OBH Combi Batuk Pilek,obat_bebas,5,17254.0,0.0,86270.0,bpjs,false,2024-05-09,2024-05-09 19:55:00
SAL-0000035,OUT-0076,PRD-008,Cetirizine 10mg,obat_bebas_terbatas,1,8491.0,0.0,8491.0,kredit,false,2025-11-23,2025-11-23 14:31:00
SAL-0000036,OUT-0082,PRD-019,Glibenclamide 5mg,obat_keras,2,7148.0,0.0,14296.0,qris,true,2025-10-10,2025-10-10 20:05:00
SAL-0000037,OUT-0237,PRD-017,Bisoprolol 5mg,obat_keras,3,29119.0,0.0,87357.0,qris,true,2025-05-14,2025-05-14 08:55:00
SAL-0000038,OUT-0054,PRD-024,Dextromethorphan Sirup,obat_bebas_terbatas,2,23662.0,4732.0,42592.0,qris,false,2024-03-05,2024-03-05 20:34:00
SAL-0000039,OUT-0233,PRD-007,Amlodipine 10mg,obat_keras,4,23648.0,0.0,94592.0,tunai,true,2026-04-28,2026-04-28 16:36:00
SAL-0000040,OUT-0075,PRD-019,Glibenclamide 5mg,obat_keras,3,7395.0,2218.0,19967.0,kredit,true,2024-02-17,2024-02-17 20:53:00
SAL-0000041,OUT-0269,PRD-001,Paracetamol 500mg,obat_bebas,4,4699.0,0.0,18796.0,qris,false,2025-03-14,2025-03-14 11:44:00
SAL-0000042,OUT-0076,PRD-021,ORS Oralit Sachet,obat_bebas,4,2905.0,0.0,11620.0,tunai,false,2025-01-04,2025-01-04 12:05:00
SAL-0000043,OUT-0220,PRD-022,Betadine 30ml,obat_bebas,1,19163.0,0.0,19163.0,debit,false,2026-01-13,2026-01-13 19:48:00
SAL-0000044,OUT-0141,PRD-014,Ranitidine 150mg,obat_keras,3,15373.0,0.0,46119.0,tunai,true,2024-03-20,2024-03-20 11:33:00
SAL-0000045,OUT-0260,PRD-001,Paracetamol 500mg,obat_bebas,1,4606.0,0.0,4606.0,asuransi_swasta,false,2025-03-08,2025-03-08 19:08:00
SAL-0000046,OUT-0280,PRD-003,Omeprazole 20mg,obat_keras,1,17219.0,2583.0,14636.0,tunai,true,2024-11-16,2024-11-16 12:08:00
SAL-0000047,OUT-0225,PRD-025,OBH Combi Batuk Pilek,obat_bebas,4,17327.0,6931.0,62377.0,asuransi_swasta,false,2024-05-26,2024-05-26 09:33:00
SAL-0000048,OUT-0006,PRD-020,Antasida Doen Tab,obat_bebas,2,4608.0,922.0,8294.0,tunai,false,2026-02-05,2026-02-05 10:58:00
SAL-0000049,OUT-0242,PRD-020,Antasida Doen Tab,obat_bebas,4,4634.0,0.0,18536.0,bpjs,false,2024-05-23,2024-05-23 20:07:00
SAL-0000050,OUT-0226,PRD-012,Multivitamin Family,suplemen,1,91300.0,0.0,91300.0,tunai,false,2025-10-22,2025-10-22 09:15:00
SAL-0000051,OUT-0168,PRD-025,OBH Combi Batuk Pilek,obat_bebas,1,17665.0,2650.0,15015.0,debit,false,2024-11-04,2024-11-04 11:33:00
SAL-0000052,OUT-0300,PRD-007,Amlodipine 10mg,obat_keras,1,22872.0,0.0,22872.0,kredit,false,2026-03-23,2026-03-23 15:24:00
SAL-0000053,OUT-0065,PRD-008,Cetirizine 10mg,obat_bebas_terbatas,2,8999.0,900.0,17098.0,bpjs,false,2024-01-13,2024-01-13 13:59:00
SAL-0000054,OUT-0188,PRD-005,Simvastatin 20mg,obat_keras,4,34366.0,0.0,137464.0,qris,true,2025-11-30,2025-11-30 15:49:00
SAL-0000055,OUT-0043,PRD-001,Paracetamol 500mg,obat_bebas,1,5070.0,0.0,5070.0,tunai,false,2024-03-02,2024-03-02 20:25:00
SAL-0000056,OUT-0299,PRD-010,Vitamin C 1000mg,suplemen,2,45926.0,0.0,91852.0,qris,false,2025-02-15,2025-02-15 09:40:00
SAL-0000057,OUT-0090,PRD-009,Ibuprofen 400mg,obat_bebas,1,7000.0,0.0,7000.0,asuransi_swasta,false,2024-06-08,2024-06-08 16:20:00
SAL-0000058,OUT-0230,PRD-019,Glibenclamide 5mg,obat_keras,4,7150.0,2860.0,25740.0,debit,true,2024-11-13,2024-11-13 19:54:00
SAL-0000059,OUT-0144,PRD-002,Amoxicillin 500mg,antibiotik,5,23978.0,0.0,119890.0,qris,true,2025-09-15,2025-09-15 18:47:00
SAL-0000060,OUT-0103,PRD-004,Loratadine 10mg,obat_bebas_terbatas,1,11064.0,0.0,11064.0,tunai,false,2024-12-21,2024-12-21 16:33:00
SAL-0000061,OUT-0155,PRD-006,Metformin 500mg,obat_keras,3,7836.0,3526.0,19982.0,tunai,true,2024-04-30,2024-04-30 08:21:00
SAL-0000062,OUT-0252,PRD-009,Ibuprofen 400mg,obat_bebas,1,7529.0,376.0,7153.0,debit,false,2025-05-23,2025-05-23 15:32:00
SAL-0000063,OUT-0213,PRD-002,Amoxicillin 500mg,antibiotik,2,24998.0,0.0,49996.0,tunai,true,2026-03-02,2026-03-02 17:43:00
SAL-0000064,OUT-0068,PRD-008,Cetirizine 10mg,obat_bebas_terbatas,1,9347.0,1402.0,7945.0,bpjs,false,2024-09-07,2024-09-07 08:30:00
SAL-0000065,OUT-0215,PRD-013,Diphenhydramine 25mg,obat_bebas_terbatas,1,11740.0,1761.0,9979.0,tunai,false,2026-04-02,2026-04-02 19:47:00
SAL-0000066,OUT-0247,PRD-008,Cetirizine 10mg,obat_bebas_terbatas,2,8743.0,1749.0,15737.0,tunai,false,2026-04-25,2026-04-25 09:36:00
SAL-0000067,OUT-0220,PRD-004,Loratadine 10mg,obat_bebas_terbatas,5,12004.0,0.0,60020.0,tunai,false,2025-06-12,2025-06-12 08:25:00
SAL-0000068,OUT-0040,PRD-015,Salbutamol Inhaler,obat_keras,3,100564.0,0.0,301692.0,tunai,true,2025-07-20,2025-07-20 13:12:00
SAL-0000069,OUT-0172,PRD-019,Glibenclamide 5mg,obat_keras,3,7319.0,0.0,21957.0,qris,false,2025-08-28,2025-08-28 20:49:00
SAL-0000070,OUT-0117,PRD-024,Dextromethorphan Sirup,obat_bebas_terbatas,3,23410.0,0.0,70230.0,tunai,false,2025-02-23,2025-02-23 08:14:00
SAL-0000071,OUT-0205,PRD-021,ORS Oralit Sachet,obat_bebas,4,3163.0,0.0,12652.0,tunai,false,2025-11-04,2025-11-04 14:54:00
SAL-0000072,OUT-0181,PRD-004,Loratadine 10mg,obat_bebas_terbatas,20,11434.0,0.0,228680.0,qris,false,2024-03-02,2024-03-02 10:45:00
SAL-0000073,OUT-0166,PRD-003,Omeprazole 20mg,obat_keras,1,16686.0,2503.0,14183.0,qris,true,2025-12-18,2025-12-18 15:47:00
SAL-0000074,OUT-0049,PRD-019,Glibenclamide 5mg,obat_keras,1,6547.0,982.0,5565.0,qris,true,2025-08-29,2025-08-29 14:42:00
SAL-0000075,OUT-0075,PRD-008,Cetirizine 10mg,obat_bebas_terbatas,4,8700.0,5220.0,29580.0,qris,false,2026-01-23,2026-01-23 13:20:00
SAL-0000076,OUT-0265,PRD-009,Ibuprofen 400mg,obat_bebas,6,7180.0,0.0,43080.0,kredit,false,2025-08-21,2025-08-21 09:09:00
SAL-0000077,OUT-0061,PRD-006,Metformin 500mg,obat_keras,1,7935.0,0.0,7935.0,qris,true,2026-02-27,2026-02-27 12:29:00
SAL-0000078,OUT-0158,PRD-004,Loratadine 10mg,obat_bebas_terbatas,4,11214.0,0.0,44856.0,kredit,false,2025-12-14,2025-12-14 17:02:00
SAL-0000079,OUT-0128,PRD-011,Vitamin D3 1000IU,suplemen,3,61343.0,0.0,184029.0,qris,false,2024-02-20,2024-02-20 18:19:00
SAL-0000080,OUT-0156,PRD-006,Metformin 500mg,obat_keras,2,7400.0,0.0,14800.0,qris,true,2025-07-17,2025-07-17 15:06:00
SAL-0000081,OUT-0081,PRD-004,Loratadine 10mg,obat_bebas_terbatas,4,11063.0,0.0,44252.0,tunai,false,2026-04-23,2026-04-23 14:23:00
SAL-0000082,OUT-0049,PRD-019,Glibenclamide 5mg,obat_keras,5,7096.0,0.0,35480.0,tunai,true,2024-03-07,2024-03-07 18:28:00
SAL-0000083,OUT-0074,PRD-003,Omeprazole 20mg,obat_keras,4,19167.0,0.0,76668.0,tunai,true,2025-04-17,2025-04-17 17:27:00
SAL-0000084,OUT-0232,PRD-016,Insulin Glargine,obat_keras,3,323651.0,0.0,970953.0,qris,true,2024-07-10,2024-07-10 15:56:00
SAL-0000085,OUT-0087,PRD-002,Amoxicillin 500mg,antibiotik,2,25456.0,5091.0,45821.0,tunai,true,2025-02-25,2025-02-25 15:03:00
SAL-0000086,OUT-0051,PRD-009,Ibuprofen 400mg,obat_bebas,2,7360.0,1472.0,13248.0,bpjs,false,2025-06-22,2025-06-22 11:40:00
SAL-0000087,OUT-0011,PRD-013,Diphenhydramine 25mg,obat_bebas_terbatas,1,11496.0,575.0,10921.0,kredit,false,2024-12-18,2024-12-18 17:32:00
SAL-0000088,OUT-0190,PRD-013,Diphenhydramine 25mg,obat_bebas_terbatas,1,10596.0,530.0,10066.0,tunai,false,2026-04-10,2026-04-10 20:17:00
SAL-0000089,OUT-0033,PRD-016,Insulin Glargine,obat_keras,3,351648.0,0.0,1054944.0,asuransi_swasta,true,2024-04-12,2024-04-12 11:17:00
SAL-0000090,OUT-0032,PRD-025,OBH Combi Batuk Pilek,obat_bebas,1,17810.0,2672.0,15138.0,asuransi_swasta,false,2025-02-01,2025-02-01 13:59:00
SAL-0000091,OUT-0102,PRD-006,Metformin 500mg,obat_keras,1,7663.0,766.0,6897.0,debit,true,2025-08-28,2025-08-28 19:22:00
SAL-0000092,OUT-0082,PRD-019,Glibenclamide 5mg,obat_keras,4,7502.0,4501.0,25507.0,bpjs,true,2025-05-19,2025-05-19 10:31:00
SAL-0000093,OUT-0022,PRD-003,Omeprazole 20mg,obat_keras,2,16722.0,0.0,33444.0,qris,true,2024-01-01,2024-01-01 17:12:00
SAL-0000094,OUT-0075,PRD-011,Vitamin D3 1000IU,suplemen,5,67256.0,50442.0,285838.0,bpjs,false,2024-03-01,2024-03-01 08:09:00
SAL-0000095,OUT-0082,PRD-025,OBH Combi Batuk Pilek,obat_bebas,2,15473.0,0.0,30946.0,asuransi_swasta,false,2025-01-17,2025-01-17 19:42:00
SAL-0000096,OUT-0232,PRD-019,Glibenclamide 5mg,obat_keras,1,6553.0,0.0,6553.0,asuransi_swasta,false,2026-01-19,2026-01-19 20:40:00
SAL-0000097,OUT-0286,PRD-021,ORS Oralit Sachet,obat_bebas,3,2912.0,437.0,8299.0,debit,false,2025-09-20,2025-09-20 20:22:00
SAL-0000098,OUT-0133,PRD-022,Betadine 30ml,obat_bebas,1,18256.0,0.0,18256.0,debit,false,2024-10-28,2024-10-28 10:11:00
SAL-0000099,OUT-0001,PRD-023,Mefenamic Acid 500mg,obat_keras,1,10182.0,1527.0,8655.0,asuransi_swasta,true,2024-02-03,2024-02-03 13:58:00
SAL-0000100,OUT-0132,PRD-021,ORS Oralit Sachet,obat_bebas,6,3031.0,0.0,18186.0,tunai,false,2024-03-20,2024-03-20 11:22:00
SAL-0000101,OUT-0189,PRD-006,Metformin 500mg,obat_keras,10,8174.0,12261.0,69479.0,debit,true,2025-10-16,2025-10-16 13:28:00
SAL-0000102,OUT-0007,PRD-009,Ibuprofen 400mg,obat_bebas,3,7152.0,0.0,21456.0,tunai,false,2024-04-20,2024-04-20 19:00:00
SAL-0000103,OUT-0028,PRD-013,Diphenhydramine 25mg,obat_bebas_terbatas,2,10891.0,0.0,21782.0,bpjs,false,2025-05-19,2025-05-19 14:22:00
SAL-0000104,OUT-0222,PRD-004,Loratadine 10mg,obat_bebas_terbatas,3,12631.0,1895.0,35998.0,debit,false,2025-12-04,2025-12-04 11:10:00
SAL-0000105,OUT-0265,PRD-003,Omeprazole 20mg,obat_keras,1,18862.0,0.0,18862.0,tunai,true,2024-04-17,2024-04-17 10:56:00
SAL-0000106,OUT-0222,PRD-006,Metformin 500mg,obat_keras,2,8297.0,0.0,16594.0,tunai,true,2025-09-20,2025-09-20 19:01:00
SAL-0000107,OUT-0253,PRD-021,ORS Oralit Sachet,obat_bebas,5,2839.0,0.0,14195.0,tunai,false,2024-12-05,2024-12-05 11:12:00
SAL-0000108,OUT-0241,PRD-023,Mefenamic Acid 500mg,obat_keras,5,9582.0,2396.0,45514.0,tunai,true,2024-10-15,2024-10-15 09:03:00
SAL-0000109,OUT-0231,PRD-019,Glibenclamide 5mg,obat_keras,2,7056.0,0.0,14112.0,qris,true,2025-03-13,2025-03-13 21:42:00
SAL-0000110,OUT-0282,PRD-007,Amlodipine 10mg,obat_keras,1,20581.0,2058.0,18523.0,tunai,true,2024-03-24,2024-03-24 09:19:00
SAL-0000111,OUT-0233,PRD-016,Insulin Glargine,obat_keras,3,349389.0,0.0,1048167.0,debit,true,2025-01-31,2025-01-31 14:23:00
SAL-0000112,OUT-0110,PRD-015,Salbutamol Inhaler,obat_keras,2,88078.0,0.0,176156.0,tunai,true,2024-10-02,2024-10-02 10:48:00
SAL-0000113,OUT-0056,PRD-003,Omeprazole 20mg,obat_keras,4,18484.0,0.0,73936.0,asuransi_swasta,true,2025-08-26,2025-08-26 08:53:00
SAL-0000114,OUT-0228,PRD-017,Bisoprolol 5mg,obat_keras,2,27635.0,8290.0,46980.0,bpjs,true,2025-08-09,2025-08-09 15:19:00
SAL-0000115,OUT-0046,PRD-013,Diphenhydramine 25mg,obat_bebas_terbatas,3,11709.0,1756.0,33371.0,qris,false,2025-06-13,2025-06-13 20:36:00
SAL-0000116,OUT-0086,PRD-004,Loratadine 10mg,obat_bebas_terbatas,2,12863.0,0.0,25726.0,asuransi_swasta,false,2026-04-07,2026-04-07 11:08:00
SAL-0000117,OUT-0024,PRD-014,Ranitidine 150mg,obat_keras,3,13988.0,0.0,41964.0,asuransi_swasta,true,2025-10-04,2025-10-04 17:16:00
SAL-0000118,OUT-0189,PRD-024,Dextromethorphan Sirup,obat_bebas_terbatas,1,23458.0,0.0,23458.0,qris,false,2025-07-19,2025-07-19 13:54:00
SAL-0000119,OUT-0164,PRD-017,Bisoprolol 5mg,obat_keras,4,27813.0,16688.0,94564.0,debit,true,2025-08-24,2025-08-24 14:07:00
SAL-0000120,OUT-0245,PRD-005,Simvastatin 20mg,obat_keras,2,33030.0,9909.0,56151.0,asuransi_swasta,false,2024-04-12,2024-04-12 17:49:00
SAL-0000121,OUT-0058,PRD-010,Vitamin C 1000mg,suplemen,5,47646.0,0.0,238230.0,tunai,false,2025-11-01,2025-11-01 15:36:00
SAL-0000122,OUT-0278,PRD-002,Amoxicillin 500mg,antibiotik,2,23689.0,2369.0,45009.0,debit,true,2025-12-11,2025-12-11 14:56:00
SAL-0000123,OUT-0196,PRD-023,Mefenamic Acid 500mg,obat_keras,3,9101.0,0.0,27303.0,bpjs,true,2024-01-21,2024-01-21 20:19:00
SAL-0000124,OUT-0184,PRD-009,Ibuprofen 400mg,obat_bebas,4,7911.0,3164.0,28480.0,tunai,false,2024-08-21,2024-08-21 10:19:00
SAL-0000125,OUT-0259,PRD-025,OBH Combi Batuk Pilek,obat_bebas,1,17360.0,0.0,17360.0,debit,false,2024-04-01,2024-04-01 11:28:00
SAL-0000126,OUT-0126,PRD-014,Ranitidine 150mg,obat_keras,3,15578.0,7010.0,39724.0,qris,true,2024-02-27,2024-02-27 10:04:00
SAL-0000127,OUT-0184,PRD-023,Mefenamic Acid 500mg,obat_keras,1,9510.0,1426.0,8084.0,qris,true,2025-08-05,2025-08-05 11:56:00
SAL-0000128,OUT-0119,PRD-002,Amoxicillin 500mg,antibiotik,2,23998.0,0.0,47996.0,debit,true,2024-10-07,2024-10-07 15:32:00
SAL-0000129,OUT-0233,PRD-021,ORS Oralit Sachet,obat_bebas,3,3203.0,0.0,9609.0,qris,false,2025-08-31,2025-08-31 15:11:00
SAL-0000130,OUT-0278,PRD-019,Glibenclamide 5mg,obat_keras,1,7057.0,1059.0,5998.0,bpjs,true,2026-02-05,2026-02-05 09:18:00
SAL-0000131,OUT-0017,PRD-013,Diphenhydramine 25mg,obat_bebas_terbatas,4,10207.0,6124.0,34704.0,asuransi_swasta,false,2024-08-14,2024-08-14 18:14:00
SAL-0000132,OUT-0123,PRD-009,Ibuprofen 400mg,obat_bebas,2,7682.0,2305.0,13059.0,kredit,false,2026-02-24,2026-02-24 18:00:00
SAL-0000133,OUT-0278,PRD-005,Simvastatin 20mg,obat_keras,2,35825.0,0.0,71650.0,tunai,true,2025-09-14,2025-09-14 12:45:00
SAL-0000134,OUT-0163,PRD-014,Ranitidine 150mg,obat_keras,4,15949.0,0.0,63796.0,tunai,true,2025-04-22,2025-04-22 16:52:00
SAL-0000135,OUT-0233,PRD-019,Glibenclamide 5mg,obat_keras,2,6555.0,1311.0,11799.0,asuransi_swasta,true,2025-01-18,2025-01-18 17:38:00
SAL-0000136,OUT-0167,PRD-010,Vitamin C 1000mg,suplemen,2,46328.0,0.0,92656.0,asuransi_swasta,false,2025-10-17,2025-10-17 13:55:00
SAL-0000137,OUT-0164,PRD-009,Ibuprofen 400mg,obat_bebas,6,7687.0,4612.0,41510.0,tunai,false,2024-06-02,2024-06-02 16:48:00
SAL-0000138,OUT-0145,PRD-002,Amoxicillin 500mg,antibiotik,4,26222.0,5244.0,99644.0,qris,true,2024-11-23,2024-11-23 19:01:00
SAL-0000139,OUT-0294,PRD-010,Vitamin C 1000mg,suplemen,2,43268.0,0.0,86536.0,debit,false,2025-08-20,2025-08-20 19:36:00
SAL-0000140,OUT-0114,PRD-011,Vitamin D3 1000IU,suplemen,1,67356.0,3368.0,63988.0,debit,false,2025-05-02,2025-05-02 18:22:00
SAL-0000141,OUT-0299,PRD-010,Vitamin C 1000mg,suplemen,4,47487.0,9497.0,180451.0,tunai,false,2024-04-09,2024-04-09 15:08:00
SAL-0000142,OUT-0155,PRD-024,Dextromethorphan Sirup,obat_bebas_terbatas,3,23085.0,0.0,69255.0,bpjs,false,2024-12-09,2024-12-09 18:05:00
SAL-0000143,OUT-0132,PRD-012,Multivitamin Family,suplemen,4,81237.0,0.0,324948.0,kredit,false,2024-12-05,2024-12-05 13:16:00
SAL-0000144,OUT-0173,PRD-015,Salbutamol Inhaler,obat_keras,2,100338.0,30101.0,170575.0,debit,false,2025-08-17,2025-08-17 09:30:00
SAL-0000145,OUT-0116,PRD-017,Bisoprolol 5mg,obat_keras,3,26297.0,3945.0,74946.0,tunai,true,2024-02-25,2024-02-25 10:08:00
SAL-0000146,OUT-0119,PRD-011,Vitamin D3 1000IU,suplemen,2,64056.0,0.0,128112.0,tunai,false,2026-01-02,2026-01-02 10:49:00
SAL-0000147,OUT-0047,PRD-016,Insulin Glargine,obat_keras,20,340627.0,0.0,6812540.0,debit,true,2024-01-05,2024-01-05 11:48:00
SAL-0000148,OUT-0099,PRD-019,Glibenclamide 5mg,obat_keras,2,7296.0,2189.0,12403.0,kredit,true,2024-05-12,2024-05-12 18:27:00
SAL-0000149,OUT-0237,PRD-014,Ranitidine 150mg,obat_keras,1,16117.0,0.0,16117.0,qris,true,2026-01-18,2026-01-18 08:57:00
SAL-0000150,OUT-0190,PRD-025,OBH Combi Batuk Pilek,obat_bebas,1,17380.0,1738.0,15642.0,tunai,false,2026-01-21,2026-01-21 11:14:00
SAL-0000151,OUT-0204,PRD-010,Vitamin C 1000mg,suplemen,1,42328.0,2116.0,40212.0,tunai,false,2024-03-07,2024-03-07 21:02:00
SAL-0000152,OUT-0175,PRD-010,Vitamin C 1000mg,suplemen,2,44683.0,4468.0,84898.0,tunai,false,2025-12-04,2025-12-04 10:21:00
SAL-0000153,OUT-0287,PRD-012,Multivitamin Family,suplemen,1,88402.0,13260.0,75142.0,qris,false,2024-08-21,2024-08-21 11:46:00
SAL-0000154,OUT-0076,PRD-007,Amlodipine 10mg,obat_keras,2,22824.0,0.0,45648.0,tunai,true,2025-12-29,2025-12-29 08:24:00
SAL-0000155,OUT-0153,PRD-025,OBH Combi Batuk Pilek,obat_bebas,1,16592.0,0.0,16592.0,debit,false,2025-10-31,2025-10-31 21:01:00
SAL-0000156,OUT-0028,PRD-023,Mefenamic Acid 500mg,obat_keras,2,8916.0,0.0,17832.0,qris,true,2025-04-30,2025-04-30 11:44:00
SAL-0000157,OUT-0006,PRD-010,Vitamin C 1000mg,suplemen,1,44430.0,2222.0,42208.0,tunai,false,2025-09-12,2025-09-12 19:08:00
SAL-0000158,OUT-0247,PRD-004,Loratadine 10mg,obat_bebas_terbatas,2,12022.0,0.0,24044.0,tunai,false,2024-04-18,2024-04-18 15:12:00
SAL-0000159,OUT-0119,PRD-025,OBH Combi Batuk Pilek,obat_bebas,2,15874.0,0.0,31748.0,qris,false,2025-02-23,2025-02-23 12:10:00
SAL-0000160,OUT-0023,PRD-018,Captopril 25mg,obat_keras,1,5997.0,0.0,5997.0,tunai,true,2024-01-03,2024-01-03 09:58:00
SAL-0000161,OUT-0063,PRD-019,Glibenclamide 5mg,obat_keras,1,7189.0,0.0,7189.0,kredit,true,2024-03-17,2024-03-17 09:57:00
SAL-0000162,OUT-0154,PRD-021,ORS Oralit Sachet,obat_bebas,20,2871.0,0.0,57420.0,tunai,false,2024-02-21,2024-02-21 09:52:00
SAL-0000163,OUT-0103,PRD-002,Amoxicillin 500mg,antibiotik,1,26409.0,2641.0,23768.0,tunai,true,2026-01-26,2026-01-26 21:48:00
SAL-0000164,OUT-0027,PRD-001,Paracetamol 500mg,obat_bebas,3,5282.0,0.0,15846.0,tunai,false,2025-03-24,2025-03-24 17:17:00
SAL-0000165,OUT-0054,PRD-012,Multivitamin Family,suplemen,1,89284.0,0.0,89284.0,qris,false,2025-04-12,2025-04-12 12:53:00
SAL-0000166,OUT-0227,PRD-023,Mefenamic Acid 500mg,obat_keras,3,10033.0,3010.0,27089.0,bpjs,true,2024-06-19,2024-06-19 19:46:00
SAL-0000167,OUT-0034,PRD-006,Metformin 500mg,obat_keras,5,7493.0,0.0,37465.0,kredit,true,2025-11-25,2025-11-25 17:24:00
SAL-0000168,OUT-0212,PRD-020,Antasida Doen Tab,obat_bebas,3,4161.0,1872.0,10611.0,debit,false,2024-05-13,2024-05-13 15:58:00
